date,product_id,product_name,category,units_sold,revenue,average_price,promotion_active,promotion_type,discount_pct,marketing_spend,temperature_c,rainfall_mm,footfall_index,festival,festival_intensity,holiday,competitor_promo,stock_available,stockout_flag,day_of_week,weekend,month,season
2025-01-28,IC-VAN,Vanilla Ice Cream,Ice Cream,130,130.34,1.01,0,None,0.0,0.0,25.4,1.6,96.5,None,0.0,0,0,214,0,1,0,1,Winter
2025-01-29,IC-VAN,Vanilla Ice Cream,Ice Cream,127,127.92,1.01,0,None,0.0,0.0,25.5,0.0,101.5,None,0.0,0,0,190,0,2,0,1,Winter
2025-01-30,IC-VAN,Vanilla Ice Cream,Ice Cream,138,139.21,1.01,0,None,0.0,0.0,25.6,0.0,103.2,None,0.0,0,0,272,0,3,0,1,Winter
2025-01-31,IC-VAN,Vanilla Ice Cream,Ice Cream,153,153.01,1.01,0,None,0.0,0.0,28.7,0.1,103.5,None,0.0,0,0,184,0,4,0,1,Winter
2025-02-01,IC-VAN,Vanilla Ice Cream,Ice Cream,137,135.07,1.01,0,None,0.0,0.0,24.2,0.2,102.7,None,0.0,0,0,230,0,5,1,2,Winter
2025-02-02,IC-VAN,Vanilla Ice Cream,Ice Cream,142,142.56,1.01,0,None,0.0,0.0,24.1,0.3,109.3,None,0.0,0,0,257,0,6,1,2,Winter
2025-02-03,IC-VAN,Vanilla Ice Cream,Ice Cream,103,104.59,1.01,0,None,0.0,0.0,23.6,1.3,92.5,None,0.0,0,0,231,0,0,0,2,Winter
2025-02-04,IC-VAN,Vanilla Ice Cream,Ice Cream,137,138.78,1.01,0,None,0.0,0.0,26.3,0.3,112.9,None,0.0,0,0,174,0,1,0,2,Winter
2025-02-05,IC-VAN,Vanilla Ice Cream,Ice Cream,140,143.66,1.01,0,None,0.0,0.0,27.3,0.6,92.8,None,0.0,0,0,160,0,2,0,2,Winter
2025-02-06,IC-VAN,Vanilla Ice Cream,Ice Cream,125,129.45,1.01,0,None,0.0,0.0,25.1,0.1,95.7,None,0.0,0,0,189,0,3,0,2,Winter
2025-02-07,IC-VAN,Vanilla Ice Cream,Ice Cream,110,112.35,1.01,0,None,0.0,0.0,23.9,0.2,95.9,None,0.0,0,0,149,0,4,0,2,Winter
2025-02-08,IC-VAN,Vanilla Ice Cream,Ice Cream,139,143.06,1.01,0,None,0.0,0.0,24.0,0.3,103.8,None,0.0,0,0,240,0,5,1,2,Winter
2025-02-09,IC-VAN,Vanilla Ice Cream,Ice Cream,211,176.83,1.01,1,Festival Promo,18.0,3352.78,26.7,0.1,118.1,None,0.0,0,0,378,0,6,1,2,Winter
2025-02-10,IC-VAN,Vanilla Ice Cream,Ice Cream,176,149.19,1.01,1,Festival Promo,18.0,3352.78,26.9,0.2,113.6,None,0.0,0,0,241,0,0,0,2,Winter
2025-02-11,IC-VAN,Vanilla Ice Cream,Ice Cream,152,157.43,1.01,0,None,0.0,0.0,26.6,1.7,99.3,None,0.0,0,0,244,0,1,0,2,Winter
2025-02-12,IC-VAN,Vanilla Ice Cream,Ice Cream,111,113.78,1.01,0,None,0.0,0.0,24.5,0.0,95.2,None,0.0,0,0,165,0,2,0,2,Winter
2025-02-13,IC-VAN,Vanilla Ice Cream,Ice Cream,156,135.56,1.01,1,Mango Festival,15.0,3085.63,26.2,1.4,90.7,None,0.0,0,0,183,0,3,0,2,Winter
2025-02-14,IC-VAN,Vanilla Ice Cream,Ice Cream,164,141.0,1.01,1,Mango Festival,15.0,3085.63,26.1,0.0,100.8,None,0.0,0,0,296,0,4,0,2,Winter
2025-02-15,IC-VAN,Vanilla Ice Cream,Ice Cream,205,170.41,1.01,1,Festival Promo,18.0,2903.17,26.4,0.9,110.6,None,0.0,0,0,266,0,5,1,2,Winter
2025-02-16,IC-VAN,Vanilla Ice Cream,Ice Cream,219,181.44,1.01,1,Festival Promo,18.0,2903.17,27.6,0.4,109.0,None,0.0,0,0,326,0,6,1,2,Winter
2025-02-17,IC-VAN,Vanilla Ice Cream,Ice Cream,174,145.86,1.01,1,Festival Promo,18.0,2903.17,26.5,0.4,103.5,None,0.0,0,1,303,0,0,0,2,Winter
2025-02-18,IC-VAN,Vanilla Ice Cream,Ice Cream,147,147.91,1.01,0,None,0.0,0.0,27.4,0.0,104.5,None,0.0,0,0,301,0,1,0,2,Winter
2025-02-19,IC-VAN,Vanilla Ice Cream,Ice Cream,139,140.78,1.02,0,None,0.0,0.0,26.4,0.4,104.3,None,0.0,0,0,188,0,2,0,2,Winter
2025-02-20,IC-VAN,Vanilla Ice Cream,Ice Cream,123,121.36,1.02,0,None,0.0,0.0,26.9,1.1,101.2,None,0.0,0,0,235,0,3,0,2,Winter
2025-02-21,IC-VAN,Vanilla Ice Cream,Ice Cream,159,164.82,1.02,0,None,0.0,0.0,27.6,1.9,97.4,None,0.0,0,0,324,0,4,0,2,Winter
2025-02-22,IC-VAN,Vanilla Ice Cream,Ice Cream,160,149.13,1.02,1,Bundle Offer,8.0,1868.21,23.9,0.1,116.4,None,0.0,0,1,257,0,5,1,2,Winter
2025-02-23,IC-VAN,Vanilla Ice Cream,Ice Cream,192,180.45,1.02,1,Bundle Offer,8.0,1868.21,26.0,0.1,113.3,None,0.0,0,1,218,0,6,1,2,Winter
2025-02-24,IC-VAN,Vanilla Ice Cream,Ice Cream,146,138.89,1.02,1,Bundle Offer,8.0,1868.21,25.9,2.7,107.8,None,0.0,0,1,207,0,0,0,2,Winter
2025-02-25,IC-VAN,Vanilla Ice Cream,Ice Cream,150,140.77,1.02,1,Bundle Offer,8.0,1868.21,25.6,0.3,107.4,None,0.0,0,0,297,0,1,0,2,Winter
2025-02-26,IC-VAN,Vanilla Ice Cream,Ice Cream,160,140.66,1.02,1,Mango Festival,15.0,2275.03,26.4,0.0,96.5,None,0.0,0,1,306,0,2,0,2,Winter
2025-02-27,IC-VAN,Vanilla Ice Cream,Ice Cream,213,181.35,1.02,1,Mango Festival,15.0,2275.03,29.7,0.0,96.5,None,0.0,0,0,283,0,3,0,2,Winter
2025-02-28,IC-VAN,Vanilla Ice Cream,Ice Cream,152,135.18,1.02,1,Mango Festival,15.0,2275.03,25.5,0.0,100.0,None,0.0,0,1,203,0,4,0,2,Winter
2025-03-01,IC-VAN,Vanilla Ice Cream,Ice Cream,239,209.33,1.02,1,Mango Festival,15.0,2275.03,28.9,0.8,108.7,None,0.0,0,0,305,0,5,1,3,Summer
2025-03-02,IC-VAN,Vanilla Ice Cream,Ice Cream,136,138.71,1.02,0,None,0.0,0.0,24.2,0.7,117.8,None,0.0,0,0,194,0,6,1,3,Summer
2025-03-03,IC-VAN,Vanilla Ice Cream,Ice Cream,137,141.78,1.02,0,None,0.0,0.0,26.7,0.9,105.9,None,0.0,0,0,275,0,0,0,3,Summer
2025-03-04,IC-VAN,Vanilla Ice Cream,Ice Cream,150,150.51,1.02,0,None,0.0,0.0,27.7,0.7,109.8,None,0.0,0,0,304,0,1,0,3,Summer
2025-03-05,IC-VAN,Vanilla Ice Cream,Ice Cream,168,170.4,1.02,0,None,0.0,0.0,28.6,0.1,106.4,None,0.0,0,0,195,0,2,0,3,Summer
2025-03-06,IC-VAN,Vanilla Ice Cream,Ice Cream,147,152.24,1.02,0,None,0.0,0.0,28.9,3.6,105.6,None,0.0,0,0,285,0,3,0,3,Summer
2025-03-07,IC-VAN,Vanilla Ice Cream,Ice Cream,156,155.27,1.02,0,None,0.0,0.0,29.1,0.6,110.6,None,0.0,0,0,296,0,4,0,3,Summer
2025-03-08,IC-VAN,Vanilla Ice Cream,Ice Cream,160,164.02,1.02,0,None,0.0,0.0,27.2,0.9,117.1,None,0.0,0,0,278,0,5,1,3,Summer
2025-03-09,IC-VAN,Vanilla Ice Cream,Ice Cream,164,168.09,1.02,0,None,0.0,0.0,27.0,0.4,115.2,None,0.0,0,0,323,0,6,1,3,Summer
2025-03-10,IC-VAN,Vanilla Ice Cream,Ice Cream,165,172.03,1.02,0,None,0.0,0.0,29.5,0.4,112.4,None,0.0,0,0,191,0,0,0,3,Summer
2025-03-11,IC-VAN,Vanilla Ice Cream,Ice Cream,138,137.91,1.02,0,None,0.0,0.0,27.7,0.2,105.7,None,0.0,0,0,269,0,1,0,3,Summer
2025-03-12,IC-VAN,Vanilla Ice Cream,Ice Cream,141,146.42,1.02,0,None,0.0,0.0,25.9,0.4,114.1,Holi,0.8,1,0,181,0,2,0,3,Summer
2025-03-13,IC-VAN,Vanilla Ice Cream,Ice Cream,139,140.68,1.02,0,None,0.0,0.0,26.2,0.7,114.8,Holi,1.05,1,0,302,0,3,0,3,Summer
2025-03-14,IC-VAN,Vanilla Ice Cream,Ice Cream,161,163.18,1.02,0,None,0.0,0.0,26.7,1.0,125.8,Holi,1.3,1,0,260,0,4,0,3,Summer
2025-03-15,IC-VAN,Vanilla Ice Cream,Ice Cream,242,243.01,1.02,0,None,0.0,0.0,29.3,0.3,135.3,Holi,1.05,1,0,276,0,5,1,3,Summer
2025-03-16,IC-VAN,Vanilla Ice Cream,Ice Cream,217,218.28,1.02,0,None,0.0,0.0,28.8,0.0,125.7,Holi,0.8,1,0,356,0,6,1,3,Summer
2025-03-17,IC-VAN,Vanilla Ice Cream,Ice Cream,175,179.24,1.02,0,None,0.0,0.0,29.9,0.3,112.2,None,0.0,0,0,314,0,0,0,3,Summer
2025-03-18,IC-VAN,Vanilla Ice Cream,Ice Cream,139,139.8,1.02,0,None,0.0,0.0,27.9,0.4,95.9,None,0.0,0,0,233,0,1,0,3,Summer
2025-03-19,IC-VAN,Vanilla Ice Cream,Ice Cream,151,155.31,1.02,0,None,0.0,0.0,29.1,0.8,105.6,None,0.0,0,0,220,0,2,0,3,Summer
2025-03-20,IC-VAN,Vanilla Ice Cream,Ice Cream,163,164.87,1.02,0,None,0.0,0.0,30.0,0.4,105.8,None,0.0,0,0,185,0,3,0,3,Summer
2025-03-21,IC-VAN,Vanilla Ice Cream,Ice Cream,154,154.74,1.02,0,None,0.0,0.0,28.4,0.1,102.4,None,0.0,0,0,319,0,4,0,3,Summer
2025-03-22,IC-VAN,Vanilla Ice Cream,Ice Cream,219,221.9,1.02,0,None,0.0,0.0,29.9,1.6,128.1,None,0.0,0,0,268,0,5,1,3,Summer
2025-03-23,IC-VAN,Vanilla Ice Cream,Ice Cream,189,193.51,1.02,0,None,0.0,0.0,28.0,0.3,115.9,None,0.0,0,0,343,0,6,1,3,Summer
2025-03-24,IC-VAN,Vanilla Ice Cream,Ice Cream,162,164.66,1.02,0,None,0.0,0.0,28.6,0.0,104.3,None,0.0,0,0,276,0,0,0,3,Summer
2025-03-25,IC-VAN,Vanilla Ice Cream,Ice Cream,153,156.1,1.02,0,None,0.0,0.0,28.7,0.0,106.5,None,0.0,0,0,282,0,1,0,3,Summer
2025-03-26,IC-VAN,Vanilla Ice Cream,Ice Cream,141,145.0,1.02,0,None,0.0,0.0,27.3,3.1,96.5,None,0.0,0,0,272,0,2,0,3,Summer
2025-03-27,IC-VAN,Vanilla Ice Cream,Ice Cream,171,176.67,1.02,0,None,0.0,0.0,30.4,0.1,102.8,None,0.0,0,0,328,0,3,0,3,Summer
2025-03-28,IC-VAN,Vanilla Ice Cream,Ice Cream,161,163.6,1.02,0,None,0.0,0.0,28.8,0.1,111.6,None,0.0,0,0,186,0,4,0,3,Summer
2025-03-29,IC-VAN,Vanilla Ice Cream,Ice Cream,216,217.55,1.02,0,None,0.0,0.0,29.8,0.2,113.6,None,0.0,0,0,394,0,5,1,3,Summer
2025-03-30,IC-VAN,Vanilla Ice Cream,Ice Cream,197,201.12,1.02,0,None,0.0,0.0,30.7,1.1,112.7,None,0.0,0,0,223,0,6,1,3,Summer
2025-03-31,IC-VAN,Vanilla Ice Cream,Ice Cream,180,184.64,1.02,0,None,0.0,0.0,30.7,0.5,113.4,None,0.0,0,0,359,0,0,0,3,Summer
2025-04-01,IC-VAN,Vanilla Ice Cream,Ice Cream,196,196.42,1.02,0,None,0.0,0.0,31.2,2.5,113.6,None,0.0,0,0,257,0,1,0,4,Summer
2025-04-02,IC-VAN,Vanilla Ice Cream,Ice Cream,189,177.37,1.02,1,Loyalty Offer,7.0,1203.85,30.0,0.3,109.6,None,0.0,0,1,344,0,2,0,4,Summer
2025-04-03,IC-VAN,Vanilla Ice Cream,Ice Cream,186,174.92,1.02,1,Loyalty Offer,7.0,1203.85,29.5,0.1,104.8,None,0.0,0,1,219,0,3,0,4,Summer
2025-04-04,IC-VAN,Vanilla Ice Cream,Ice Cream,196,185.46,1.02,1,Loyalty Offer,7.0,1203.85,30.2,0.6,105.9,None,0.0,0,0,289,0,4,0,4,Summer
2025-04-05,IC-VAN,Vanilla Ice Cream,Ice Cream,171,172.82,1.02,0,None,0.0,0.0,27.4,1.3,113.2,None,0.0,0,0,277,0,5,1,4,Summer
2025-04-06,IC-VAN,Vanilla Ice Cream,Ice Cream,166,170.75,1.02,0,None,0.0,0.0,27.9,0.0,112.3,None,0.0,0,0,338,0,6,1,4,Summer
2025-04-07,IC-VAN,Vanilla Ice Cream,Ice Cream,155,155.04,1.02,0,None,0.0,0.0,28.2,2.8,102.1,None,0.0,0,0,194,0,0,0,4,Summer
2025-04-08,IC-VAN,Vanilla Ice Cream,Ice Cream,205,168.19,1.02,1,Festival Promo,18.0,3631.06,28.9,0.5,104.3,None,0.0,0,0,230,0,1,0,4,Summer
2025-04-09,IC-VAN,Vanilla Ice Cream,Ice Cream,233,194.07,1.02,1,Festival Promo,18.0,3631.06,31.5,0.2,102.2,None,0.0,0,0,356,0,2,0,4,Summer
2025-04-10,IC-VAN,Vanilla Ice Cream,Ice Cream,152,154.68,1.02,0,None,0.0,0.0,29.2,0.0,99.6,None,0.0,0,0,179,0,3,0,4,Summer
2025-04-11,IC-VAN,Vanilla Ice Cream,Ice Cream,174,174.33,1.02,0,None,0.0,0.0,30.3,1.3,108.6,None,0.0,0,1,318,0,4,0,4,Summer
2025-04-12,IC-VAN,Vanilla Ice Cream,Ice Cream,237,239.9,1.02,0,None,0.0,0.0,33.4,0.1,118.7,None,0.0,0,0,263,0,5,1,4,Summer
2025-04-13,IC-VAN,Vanilla Ice Cream,Ice Cream,213,216.13,1.02,0,None,0.0,0.0,30.5,0.1,126.1,None,0.0,0,0,388,0,6,1,4,Summer
2025-04-14,IC-VAN,Vanilla Ice Cream,Ice Cream,208,211.06,1.02,0,None,0.0,0.0,32.5,0.4,104.3,None,0.0,0,0,313,0,0,0,4,Summer
2025-04-15,IC-VAN,Vanilla Ice Cream,Ice Cream,203,182.45,1.02,1,Payday Campaign,12.0,2799.65,29.6,0.5,109.2,None,0.0,0,0,374,0,1,0,4,Summer
2025-04-16,IC-VAN,Vanilla Ice Cream,Ice Cream,209,185.99,1.02,1,Payday Campaign,12.0,2799.65,31.0,0.0,109.3,None,0.0,0,1,249,0,2,0,4,Summer
2025-04-17,IC-VAN,Vanilla Ice Cream,Ice Cream,203,185.31,1.02,1,Payday Campaign,12.0,2799.65,29.8,1.3,106.5,None,0.0,0,0,266,0,3,0,4,Summer
2025-04-18,IC-VAN,Vanilla Ice Cream,Ice Cream,171,175.3,1.02,0,None,0.0,0.0,30.9,0.5,111.5,None,0.0,0,0,263,0,4,0,4,Summer
2025-04-19,IC-VAN,Vanilla Ice Cream,Ice Cream,233,235.15,1.02,0,None,0.0,0.0,33.1,0.7,121.7,None,0.0,0,0,257,0,5,1,4,Summer
2025-04-20,IC-VAN,Vanilla Ice Cream,Ice Cream,181,184.64,1.02,0,None,0.0,0.0,28.6,3.6,119.5,None,0.0,0,0,217,0,6,1,4,Summer
2025-04-21,IC-VAN,Vanilla Ice Cream,Ice Cream,190,193.87,1.02,0,None,0.0,0.0,32.6,1.0,106.6,None,0.0,0,0,262,0,0,0,4,Summer
2025-04-22,IC-VAN,Vanilla Ice Cream,Ice Cream,197,203.62,1.02,0,None,0.0,0.0,32.3,0.0,106.1,None,0.0,0,0,334,0,1,0,4,Summer
2025-04-23,IC-VAN,Vanilla Ice Cream,Ice Cream,178,180.01,1.02,0,None,0.0,0.0,30.9,0.3,101.1,None,0.0,0,0,311,0,2,0,4,Summer
2025-04-24,IC-VAN,Vanilla Ice Cream,Ice Cream,166,170.63,1.02,0,None,0.0,0.0,29.4,0.1,103.9,None,0.0,0,0,199,0,3,0,4,Summer
2025-04-25,IC-VAN,Vanilla Ice Cream,Ice Cream,180,183.4,1.02,0,None,0.0,0.0,32.2,0.3,104.8,None,0.0,0,0,209,0,4,0,4,Summer
2025-04-26,IC-VAN,Vanilla Ice Cream,Ice Cream,209,216.62,1.02,0,None,0.0,0.0,31.2,0.1,112.3,None,0.0,0,0,333,0,5,1,4,Summer
2025-04-27,IC-VAN,Vanilla Ice Cream,Ice Cream,298,252.63,1.02,1,Festival Promo,18.0,3232.06,32.7,0.4,120.2,None,0.0,0,0,375,0,6,1,4,Summer
2025-04-28,IC-VAN,Vanilla Ice Cream,Ice Cream,191,194.88,1.02,0,None,0.0,0.0,32.4,0.5,114.0,None,0.0,0,0,337,0,0,0,4,Summer
2025-04-29,IC-VAN,Vanilla Ice Cream,Ice Cream,199,201.9,1.02,0,None,0.0,0.0,35.3,0.1,103.5,None,0.0,0,0,266,0,1,0,4,Summer
2025-04-30,IC-VAN,Vanilla Ice Cream,Ice Cream,192,196.57,1.02,0,None,0.0,0.0,32.1,0.0,109.4,None,0.0,0,1,270,0,2,0,4,Summer
2025-05-01,IC-VAN,Vanilla Ice Cream,Ice Cream,170,172.59,1.02,0,None,0.0,0.0,30.7,0.5,102.8,None,0.0,0,0,225,0,3,0,5,Summer
2025-05-02,IC-VAN,Vanilla Ice Cream,Ice Cream,197,204.44,1.02,0,None,0.0,0.0,33.0,0.8,106.5,None,0.0,0,0,259,0,4,0,5,Summer
2025-05-03,IC-VAN,Vanilla Ice Cream,Ice Cream,246,250.44,1.02,0,None,0.0,0.0,33.1,0.5,114.5,None,0.0,0,0,378,0,5,1,5,Summer
2025-05-04,IC-VAN,Vanilla Ice Cream,Ice Cream,245,247.93,1.02,0,None,0.0,0.0,35.2,0.0,121.0,None,0.0,0,0,340,0,6,1,5,Summer
2025-05-05,IC-VAN,Vanilla Ice Cream,Ice Cream,210,212.34,1.02,0,None,0.0,0.0,34.3,0.6,104.6,None,0.0,0,0,335,0,0,0,5,Summer
2025-05-06,IC-VAN,Vanilla Ice Cream,Ice Cream,209,209.37,1.02,0,None,0.0,0.0,33.6,0.4,113.0,None,0.0,0,0,241,0,1,0,5,Summer
2025-05-07,IC-VAN,Vanilla Ice Cream,Ice Cream,191,195.42,1.02,0,None,0.0,0.0,35.6,1.3,106.7,None,0.0,0,0,296,0,2,0,5,Summer
2025-05-08,IC-VAN,Vanilla Ice Cream,Ice Cream,166,167.02,1.02,0,None,0.0,0.0,30.9,0.5,104.7,None,0.0,0,1,259,0,3,0,5,Summer
2025-05-09,IC-VAN,Vanilla Ice Cream,Ice Cream,176,181.16,1.02,0,None,0.0,0.0,32.0,1.5,101.7,None,0.0,0,0,341,0,4,0,5,Summer
2025-05-10,IC-VAN,Vanilla Ice Cream,Ice Cream,213,212.99,1.02,0,None,0.0,0.0,31.5,1.3,119.2,None,0.0,0,1,300,0,5,1,5,Summer
2025-05-11,IC-VAN,Vanilla Ice Cream,Ice Cream,270,255.39,1.02,1,Loyalty Offer,7.0,1296.87,32.5,0.2,122.4,None,0.0,0,0,306,0,6,1,5,Summer
2025-05-12,IC-VAN,Vanilla Ice Cream,Ice Cream,181,186.31,1.02,0,None,0.0,0.0,30.8,0.0,109.2,None,0.0,0,0,312,0,0,0,5,Summer
2025-05-13,IC-VAN,Vanilla Ice Cream,Ice Cream,220,217.55,1.02,0,None,0.0,0.0,34.5,0.2,119.0,None,0.0,0,0,263,0,1,0,5,Summer
2025-05-14,IC-VAN,Vanilla Ice Cream,Ice Cream,202,209.96,1.01,0,None,0.0,0.0,33.0,1.9,115.0,None,0.0,0,0,367,0,2,0,5,Summer
2025-05-15,IC-VAN,Vanilla Ice Cream,Ice Cream,171,172.61,1.01,0,None,0.0,0.0,30.8,0.0,106.2,None,0.0,0,0,252,0,3,0,5,Summer
2025-05-16,IC-VAN,Vanilla Ice Cream,Ice Cream,166,168.67,1.01,0,None,0.0,0.0,31.7,2.3,106.2,None,0.0,0,0,311,0,4,0,5,Summer
2025-05-17,IC-VAN,Vanilla Ice Cream,Ice Cream,284,269.69,1.01,1,Loyalty Offer,7.0,1298.58,34.1,0.2,120.1,None,0.0,0,0,408,0,5,1,5,Summer
2025-05-18,IC-VAN,Vanilla Ice Cream,Ice Cream,278,264.41,1.01,1,Loyalty Offer,7.0,1298.58,35.1,0.6,113.5,None,0.0,0,1,372,0,6,1,5,Summer
2025-05-19,IC-VAN,Vanilla Ice Cream,Ice Cream,241,227.93,1.01,1,Loyalty Offer,7.0,1298.58,37.3,0.9,113.5,None,0.0,0,0,354,0,0,0,5,Summer
2025-05-20,IC-VAN,Vanilla Ice Cream,Ice Cream,218,223.56,1.01,0,None,0.0,0.0,39.0,0.0,109.4,None,0.0,0,0,267,0,1,0,5,Summer
2025-05-21,IC-VAN,Vanilla Ice Cream,Ice Cream,212,216.12,1.01,0,None,0.0,0.0,34.5,0.1,108.8,None,0.0,0,0,243,0,2,0,5,Summer
2025-05-22,IC-VAN,Vanilla Ice Cream,Ice Cream,193,199.61,1.01,0,None,0.0,0.0,32.0,0.1,110.9,None,0.0,0,0,335,0,3,0,5,Summer
2025-05-23,IC-VAN,Vanilla Ice Cream,Ice Cream,164,167.11,1.01,0,None,0.0,0.0,30.0,1.2,116.1,None,0.0,0,0,337,0,4,0,5,Summer
2025-05-24,IC-VAN,Vanilla Ice Cream,Ice Cream,238,246.62,1.01,0,None,0.0,0.0,34.4,1.0,118.3,None,0.0,0,0,395,0,5,1,5,Summer
2025-05-25,IC-VAN,Vanilla Ice Cream,Ice Cream,226,231.2,1.01,0,None,0.0,0.0,32.5,0.3,116.8,None,0.0,0,0,294,0,6,1,5,Summer
2025-05-26,IC-VAN,Vanilla Ice Cream,Ice Cream,195,193.02,1.01,0,None,0.0,0.0,33.2,1.6,114.8,None,0.0,0,0,272,0,0,0,5,Summer
2025-05-27,IC-VAN,Vanilla Ice Cream,Ice Cream,200,208.64,1.01,0,None,0.0,0.0,32.9,2.1,112.1,None,0.0,0,0,277,0,1,0,5,Summer
2025-05-28,IC-VAN,Vanilla Ice Cream,Ice Cream,202,202.86,1.01,0,None,0.0,0.0,33.8,2.7,105.6,None,0.0,0,0,334,0,2,0,5,Summer
