date,content_id,content_category,viewers,watch_hours,sessions,release_event,release_active,marketing_campaign,festival,festival_intensity,holiday,weekend,day_of_week,month,competitor_major_release,subscription_price_index
2025-04-01,SPORTS,Live Sports,11881,14955.1,13664,None,0,0,None,0.0,0,0,1,4,0,102.0
2025-04-02,SPORTS,Live Sports,10590,9691.3,12118,None,0,0,None,0.0,0,0,2,4,0,102.0
2025-04-03,SPORTS,Live Sports,14119,23849.8,15633,None,0,0,None,0.0,0,0,3,4,0,102.0
2025-04-04,SPORTS,Live Sports,12968,13139.2,17204,None,0,0,None,0.0,0,0,4,4,0,102.0
2025-04-05,SPORTS,Live Sports,14448,18887.4,17920,None,0,0,None,0.0,0,1,5,4,0,102.0
2025-04-06,SPORTS,Live Sports,14673,17217.9,19307,None,0,0,None,0.0,0,1,6,4,0,101.99
2025-04-07,SPORTS,Live Sports,13257,15389.3,15926,None,0,0,None,0.0,0,0,0,4,0,101.99
2025-04-08,SPORTS,Live Sports,11675,14425.3,12655,None,0,0,None,0.0,0,0,1,4,0,101.99
2025-04-09,SPORTS,Live Sports,11890,16146.1,16398,None,0,0,None,0.0,0,0,2,4,0,101.98
2025-04-10,SPORTS,Live Sports,12483,11334.6,13314,None,0,0,None,0.0,0,0,3,4,0,101.98
2025-04-11,SPORTS,Live Sports,16897,17290.2,20225,New Episode,1,0,None,0.0,0,0,4,4,0,101.97
2025-04-12,SPORTS,Live Sports,13250,18424.8,17013,None,0,0,None,0.0,0,1,5,4,0,101.97
2025-04-13,SPORTS,Live Sports,13587,20264.7,17877,None,0,0,None,0.0,0,1,6,4,0,101.96
2025-04-14,SPORTS,Live Sports,12524,18035.5,15563,None,0,0,None,0.0,0,0,0,4,0,101.95
2025-04-15,SPORTS,Live Sports,12971,21957.2,17764,None,0,0,None,0.0,0,0,1,4,0,101.94
2025-04-16,SPORTS,Live Sports,11140,10451.3,13834,None,0,0,None,0.0,0,0,2,4,0,101.94
2025-04-17,SPORTS,Live Sports,12050,15811.5,16681,None,0,0,None,0.0,0,0,3,4,0,101.93
2025-04-18,SPORTS,Live Sports,12166,15022.4,13975,None,0,0,None,0.0,0,0,4,4,0,101.92
2025-04-19,SPORTS,Live Sports,18776,19886.3,23263,Season Premiere,1,0,None,0.0,0,1,5,4,0,101.91
2025-04-20,SPORTS,Live Sports,20325,32771.8,21592,Season Premiere,1,0,None,0.0,0,1,6,4,0,101.9
2025-04-21,SPORTS,Live Sports,12127,12306.7,15537,None,0,0,None,0.0,0,0,0,4,0,101.89
2025-04-22,SPORTS,Live Sports,16563,21592.7,20058,Season Premiere,1,0,None,0.0,0,0,1,4,0,101.87
2025-04-23,SPORTS,Live Sports,11816,12450.6,15626,None,0,0,None,0.0,0,0,2,4,0,101.86
2025-04-24,SPORTS,Live Sports,12673,15830.9,17069,None,0,0,None,0.0,0,0,3,4,0,101.85
2025-04-25,SPORTS,Live Sports,13047,19993.4,15959,None,0,0,None,0.0,0,0,4,4,0,101.84
2025-04-26,SPORTS,Live Sports,14346,20952.0,18554,None,0,0,None,0.0,0,1,5,4,0,101.82
2025-04-27,SPORTS,Live Sports,15665,22876.1,21035,None,0,0,None,0.0,0,1,6,4,0,101.81
2025-04-28,SPORTS,Live Sports,13168,14116.8,18233,None,0,0,None,0.0,0,0,0,4,0,101.79
2025-04-29,SPORTS,Live Sports,12696,11658.6,13864,None,0,0,None,0.0,0,0,1,4,0,101.78
2025-04-30,SPORTS,Live Sports,11645,17188.6,14779,None,0,0,None,0.0,0,0,2,4,0,101.76
2025-05-01,SPORTS,Live Sports,13187,12987.7,18724,None,0,0,None,0.0,0,0,3,5,0,101.74
2025-05-02,SPORTS,Live Sports,11593,14052.5,13489,None,0,0,None,0.0,0,0,4,5,0,101.73
2025-05-03,SPORTS,Live Sports,14704,23160.8,19136,None,0,0,None,0.0,0,1,5,5,0,101.71
2025-05-04,SPORTS,Live Sports,17940,22022.9,20862,Blockbuster Release,1,0,None,0.0,0,1,6,5,0,101.69
2025-05-05,SPORTS,Live Sports,16973,21595.5,23279,Blockbuster Release,1,0,None,0.0,0,0,0,5,0,101.67
2025-05-06,SPORTS,Live Sports,11073,18451.5,14919,None,0,0,None,0.0,0,0,1,5,0,101.65
2025-05-07,SPORTS,Live Sports,12008,19540.0,17169,None,0,0,None,0.0,0,0,2,5,0,101.63
2025-05-08,SPORTS,Live Sports,10958,10658.8,14569,None,0,0,None,0.0,0,0,3,5,0,101.61
2025-05-09,SPORTS,Live Sports,12277,19563.1,15292,None,0,0,None,0.0,0,0,4,5,1,101.59
2025-05-10,SPORTS,Live Sports,14485,18767.9,18344,None,0,0,None,0.0,0,1,5,5,0,101.57
2025-05-11,SPORTS,Live Sports,13549,20843.5,18450,None,0,0,None,0.0,0,1,6,5,0,101.55
2025-05-12,SPORTS,Live Sports,11990,14168.6,16128,None,0,0,None,0.0,0,0,0,5,0,101.53
2025-05-13,SPORTS,Live Sports,12445,20730.6,13653,None,0,0,None,0.0,0,0,1,5,0,101.51
2025-05-14,SPORTS,Live Sports,12223,18789.8,14296,None,0,0,None,0.0,0,0,2,5,0,101.48
2025-05-15,SPORTS,Live Sports,18548,23361.7,24538,Blockbuster Release,1,0,None,0.0,0,0,3,5,0,101.46
2025-05-16,SPORTS,Live Sports,16843,20019.2,18364,Blockbuster Release,1,0,None,0.0,0,0,4,5,0,101.44
2025-05-17,SPORTS,Live Sports,17100,18277.1,22468,None,0,1,None,0.0,0,1,5,5,0,101.41
2025-05-18,SPORTS,Live Sports,14330,16054.1,19995,None,0,0,None,0.0,0,1,6,5,0,101.39
2025-05-19,SPORTS,Live Sports,10938,13712.4,13093,None,0,0,None,0.0,0,0,0,5,0,101.36
2025-05-20,SPORTS,Live Sports,12348,14612.3,14042,None,0,0,None,0.0,0,0,1,5,0,101.34
2025-05-21,SPORTS,Live Sports,12204,17272.2,16983,None,0,0,None,0.0,0,0,2,5,0,101.31
2025-05-22,SPORTS,Live Sports,11865,16711.0,14743,None,0,0,None,0.0,0,0,3,5,0,101.29
2025-05-23,SPORTS,Live Sports,13771,14525.6,19043,None,0,0,None,0.0,0,0,4,5,0,101.26
2025-05-24,SPORTS,Live Sports,15204,16855.3,16439,None,0,0,None,0.0,0,1,5,5,0,101.23
2025-05-25,SPORTS,Live Sports,13487,12626.0,15303,None,0,0,None,0.0,0,1,6,5,0,101.21
2025-05-26,SPORTS,Live Sports,12820,15460.5,13466,None,0,0,None,0.0,0,0,0,5,0,101.18
2025-05-27,SPORTS,Live Sports,12913,16512.6,15873,None,0,0,None,0.0,0,0,1,5,0,101.15
2025-05-28,SPORTS,Live Sports,12413,12215.3,17413,None,0,0,None,0.0,0,0,2,5,0,101.12
2025-05-29,SPORTS,Live Sports,11370,11007.3,14873,None,0,0,None,0.0,0,0,3,5,0,101.09
2025-05-30,SPORTS,Live Sports,19800,22062.1,20931,Blockbuster Release,1,1,None,0.0,0,0,4,5,0,101.06
2025-05-31,SPORTS,Live Sports,20523,26539.1,21752,Blockbuster Release,1,0,None,0.0,0,1,5,5,0,101.04
2025-06-01,SPORTS,Live Sports,14569,24574.2,19495,None,0,0,None,0.0,0,1,6,6,0,101.01
2025-06-02,SPORTS,Live Sports,17227,28115.5,18727,Blockbuster Release,1,0,None,0.0,0,0,0,6,0,100.98
2025-06-03,SPORTS,Live Sports,18574,22636.8,21139,Blockbuster Release,1,0,None,0.0,0,0,1,6,0,100.95
2025-06-04,SPORTS,Live Sports,13559,18235.0,18024,None,0,0,None,0.0,0,0,2,6,0,100.92
2025-06-05,SPORTS,Live Sports,13551,18263.1,15577,None,0,0,None,0.0,0,0,3,6,1,100.88
2025-06-06,SPORTS,Live Sports,18726,21993.1,23334,New Episode,1,0,None,0.0,0,0,4,6,0,100.85
2025-06-07,SPORTS,Live Sports,20089,31850.9,24269,New Episode,1,0,None,0.0,0,1,5,6,0,100.82
2025-06-08,SPORTS,Live Sports,13038,14775.9,15482,None,0,0,None,0.0,0,1,6,6,0,100.79
2025-06-09,SPORTS,Live Sports,12043,14953.6,13861,None,0,0,None,0.0,0,0,0,6,0,100.76
2025-06-10,SPORTS,Live Sports,17392,28271.0,21096,Blockbuster Release,1,0,None,0.0,0,0,1,6,0,100.73
2025-06-11,SPORTS,Live Sports,11789,13872.6,13240,None,0,0,None,0.0,0,0,2,6,0,100.69
2025-06-12,SPORTS,Live Sports,12000,15706.5,17182,None,0,0,None,0.0,0,0,3,6,0,100.66
2025-06-13,SPORTS,Live Sports,11351,18121.5,13355,None,0,0,None,0.0,0,0,4,6,0,100.63
2025-06-14,SPORTS,Live Sports,20725,24082.5,27804,Live Sports Final,1,0,None,0.0,0,1,5,6,0,100.6
2025-06-15,SPORTS,Live Sports,15543,25946.9,18139,None,0,0,None,0.0,0,1,6,6,0,100.56
2025-06-16,SPORTS,Live Sports,14329,15229.5,16548,None,0,0,None,0.0,0,0,0,6,0,100.53
2025-06-17,SPORTS,Live Sports,12538,18146.7,15585,None,0,0,None,0.0,0,0,1,6,0,100.5
2025-06-18,SPORTS,Live Sports,17367,16464.4,23323,Season Premiere,1,0,None,0.0,0,0,2,6,0,100.46
2025-06-19,SPORTS,Live Sports,17483,23246.7,18384,Season Premiere,1,0,None,0.0,0,0,3,6,0,100.43
2025-06-20,SPORTS,Live Sports,13479,13849.9,15075,None,0,0,None,0.0,0,0,4,6,0,100.4
2025-06-21,SPORTS,Live Sports,15318,21487.8,20828,None,0,0,None,0.0,0,1,5,6,0,100.36
2025-06-22,SPORTS,Live Sports,13989,19493.1,16663,None,0,0,None,0.0,0,1,6,6,0,100.33
2025-06-23,SPORTS,Live Sports,13353,16466.5,18589,None,0,0,None,0.0,0,0,0,6,0,100.3
2025-06-24,SPORTS,Live Sports,12479,20463.9,13768,None,0,0,None,0.0,0,0,1,6,0,100.26
2025-06-25,SPORTS,Live Sports,16913,27282.8,23258,New Episode,1,0,None,0.0,0,0,2,6,0,100.23
2025-06-26,SPORTS,Live Sports,17404,25896.9,22605,New Episode,1,0,None,0.0,0,0,3,6,0,100.19
2025-06-27,SPORTS,Live Sports,13780,20335.4,15397,None,0,0,None,0.0,0,0,4,6,0,100.16
2025-06-28,SPORTS,Live Sports,14811,14138.3,15624,None,0,0,None,0.0,0,1,5,6,0,100.12
2025-06-29,SPORTS,Live Sports,13781,15970.0,19328,None,0,0,None,0.0,0,1,6,6,0,100.09
2025-06-30,SPORTS,Live Sports,18332,19478.3,21366,Season Premiere,1,0,None,0.0,0,0,0,6,0,100.06
2025-07-01,SPORTS,Live Sports,12957,15688.8,14855,None,0,0,None,0.0,0,0,1,7,0,100.02
2025-07-02,SPORTS,Live Sports,14324,14142.6,16093,None,0,1,None,0.0,0,0,2,7,0,99.99
2025-07-03,SPORTS,Live Sports,11734,13548.2,13986,None,0,0,None,0.0,0,0,3,7,0,99.95
2025-07-04,SPORTS,Live Sports,11430,15507.6,14396,None,0,0,None,0.0,0,0,4,7,0,99.92
2025-07-05,SPORTS,Live Sports,18812,19431.9,23347,Season Premiere,1,0,None,0.0,0,1,5,7,0,99.88
2025-07-06,SPORTS,Live Sports,13673,13462.5,19012,None,0,0,None,0.0,0,1,6,7,0,99.85
2025-07-07,SPORTS,Live Sports,12220,17906.5,13795,None,0,0,None,0.0,0,0,0,7,0,99.82
2025-07-08,SPORTS,Live Sports,13430,14740.0,18111,None,0,0,None,0.0,0,0,1,7,0,99.78
2025-07-09,SPORTS,Live Sports,15293,19614.3,21619,None,0,1,None,0.0,0,0,2,7,0,99.75
2025-07-10,SPORTS,Live Sports,12540,19697.2,13351,None,0,0,None,0.0,0,0,3,7,0,99.71
2025-07-11,SPORTS,Live Sports,10803,12994.3,14589,None,0,0,None,0.0,0,0,4,7,0,99.68
2025-07-12,SPORTS,Live Sports,14484,14177.8,16798,None,0,0,None,0.0,0,1,5,7,0,99.64
2025-07-13,SPORTS,Live Sports,12856,19647.4,15801,None,0,0,None,0.0,0,1,6,7,0,99.61
2025-07-14,SPORTS,Live Sports,13117,19554.9,14093,None,0,0,None,0.0,0,0,0,7,0,99.58
2025-07-15,SPORTS,Live Sports,13142,18243.4,15346,None,0,0,None,0.0,0,0,1,7,0,99.54
2025-07-16,SPORTS,Live Sports,12430,16536.0,13608,None,0,0,None,0.0,0,0,2,7,0,99.51
2025-07-17,SPORTS,Live Sports,13075,19635.4,14946,None,0,0,None,0.0,0,0,3,7,0,99.48
2025-07-18,SPORTS,Live Sports,13243,15661.4,14078,None,0,0,None,0.0,0,0,4,7,0,99.44
2025-07-19,SPORTS,Live Sports,14344,16692.9,20448,None,0,0,None,0.0,0,1,5,7,0,99.41
2025-07-20,SPORTS,Live Sports,14133,19813.5,19901,None,0,0,None,0.0,0,1,6,7,0,99.38
2025-07-21,SPORTS,Live Sports,11281,11654.9,14782,None,0,0,None,0.0,0,0,0,7,0,99.35
2025-07-22,SPORTS,Live Sports,12101,17021.0,14280,None,0,0,None,0.0,0,0,1,7,0,99.31
2025-07-23,SPORTS,Live Sports,11564,18429.0,16505,None,0,0,None,0.0,0,0,2,7,0,99.28
2025-07-24,SPORTS,Live Sports,11557,15163.9,16627,None,0,0,None,0.0,0,0,3,7,0,99.25
2025-07-25,SPORTS,Live Sports,11789,11392.2,16125,None,0,0,None,0.0,0,0,4,7,0,99.22
2025-07-26,SPORTS,Live Sports,12620,18050.3,16691,None,0,0,None,0.0,0,1,5,7,0,99.19
2025-07-27,SPORTS,Live Sports,17662,28179.0,20867,None,0,1,None,0.0,0,1,6,7,0,99.15
2025-07-28,SPORTS,Live Sports,12595,13318.9,17674,None,0,0,None,0.0,0,0,0,7,0,99.12
2025-07-29,SPORTS,Live Sports,18601,25850.7,23250,Blockbuster Release,1,0,None,0.0,0,0,1,7,0,99.09
2025-07-30,SPORTS,Live Sports,18303,19359.0,23847,Live Sports Final,1,0,None,0.0,0,0,2,7,0,99.06
2025-07-31,SPORTS,Live Sports,12836,19970.0,14367,None,0,0,None,0.0,0,0,3,7,0,99.03
2025-08-01,SPORTS,Live Sports,13086,14424.3,13852,None,0,0,None,0.0,0,0,4,8,0,99.0
2025-08-02,SPORTS,Live Sports,14411,20226.5,20823,None,0,0,None,0.0,0,1,5,8,0,98.97
2025-08-03,SPORTS,Live Sports,21383,29325.8,27767,Blockbuster Release,1,0,None,0.0,0,1,6,8,0,98.94
2025-08-04,SPORTS,Live Sports,17215,20654.9,22794,Season Premiere,1,0,None,0.0,0,0,0,8,0,98.91
2025-08-05,SPORTS,Live Sports,17629,28565.6,18865,Season Premiere,1,0,None,0.0,0,0,1,8,0,98.89
2025-08-06,SPORTS,Live Sports,17414,28228.9,21220,Season Premiere,1,0,None,0.0,0,0,2,8,0,98.86
2025-08-07,SPORTS,Live Sports,16362,19177.4,19040,None,0,1,None,0.0,0,0,3,8,0,98.83
2025-08-08,SPORTS,Live Sports,11902,14026.2,16475,None,0,0,None,0.0,0,0,4,8,0,98.8
2025-08-09,SPORTS,Live Sports,15882,22614.0,19760,None,0,0,Raksha Bandhan,1.0,1,1,5,8,0,98.77
2025-08-10,SPORTS,Live Sports,13157,14830.5,15838,None,0,0,None,0.0,0,1,6,8,0,98.75
2025-08-11,SPORTS,Live Sports,12523,14314.5,13889,None,0,0,None,0.0,0,0,0,8,0,98.72
2025-08-12,SPORTS,Live Sports,12288,11261.5,14787,None,0,0,None,0.0,0,0,1,8,0,98.69
2025-08-13,SPORTS,Live Sports,11585,11297.2,13842,None,0,0,None,0.0,0,0,2,8,0,98.67
2025-08-14,SPORTS,Live Sports,11886,16954.5,16222,None,0,0,None,0.0,0,0,3,8,0,98.64
2025-08-15,SPORTS,Live Sports,13261,15338.2,18419,None,0,0,Independence Day,0.9,1,0,4,8,0,98.62
2025-08-16,SPORTS,Live Sports,14033,13541.7,16863,None,0,0,None,0.0,0,1,5,8,0,98.59
2025-08-17,SPORTS,Live Sports,13507,22207.7,16399,None,0,0,None,0.0,0,1,6,8,0,98.57
2025-08-18,SPORTS,Live Sports,13206,15009.4,19017,None,0,0,None,0.0,0,0,0,8,0,98.54
2025-08-19,SPORTS,Live Sports,12437,13273.8,14940,None,0,0,None,0.0,0,0,1,8,0,98.52
2025-08-20,SPORTS,Live Sports,17966,23676.8,23381,Season Premiere,1,0,None,0.0,0,0,2,8,0,98.5
2025-08-21,SPORTS,Live Sports,13377,20929.3,14767,None,0,0,None,0.0,0,0,3,8,0,98.48
2025-08-22,SPORTS,Live Sports,13759,21988.2,16807,None,0,0,None,0.0,0,0,4,8,0,98.45
2025-08-23,SPORTS,Live Sports,12411,14199.0,14230,None,0,0,None,0.0,0,1,5,8,0,98.43
2025-08-24,SPORTS,Live Sports,14244,21276.6,16340,None,0,0,None,0.0,0,1,6,8,0,98.41
2025-08-25,SPORTS,Live Sports,11058,14580.4,12646,None,0,0,None,0.0,0,0,0,8,0,98.39
2025-08-26,SPORTS,Live Sports,14758,20310.6,18298,None,0,0,None,0.0,0,0,1,8,0,98.37
2025-08-27,SPORTS,Live Sports,12597,15771.6,14708,None,0,0,None,0.0,0,0,2,8,0,98.35
2025-08-28,SPORTS,Live Sports,13290,13845.5,18296,None,0,0,None,0.0,0,0,3,8,0,98.33
2025-08-29,SPORTS,Live Sports,11947,18593.7,14688,None,0,0,None,0.0,0,0,4,8,0,98.31
2025-08-30,SPORTS,Live Sports,14049,18759.5,15059,None,0,0,None,0.0,0,1,5,8,0,98.29
