date,content_id,watch_hours,release_active,marketing_campaign,festival,holiday,competitor_major_release
2025-04-07,CONTENT_001,4994.59,0,1,0,0,0
2025-04-08,CONTENT_001,4245.16,0,0,0,0,0
2025-04-09,CONTENT_001,4336.37,0,0,0,0,0
2025-04-10,CONTENT_001,3892.85,0,0,0,0,1
2025-04-11,CONTENT_001,4079.25,0,0,0,0,1
2025-04-12,CONTENT_001,3970.83,0,0,0,0,1
2025-04-13,CONTENT_001,5043.78,0,0,0,0,0
2025-04-14,CONTENT_001,4302.36,0,0,0,0,0
2025-04-15,CONTENT_001,4150.6,0,0,0,0,0
2025-04-16,CONTENT_001,3724.56,0,0,0,0,0
2025-04-17,CONTENT_001,4187.19,0,0,0,0,0
2025-04-18,CONTENT_001,4050.78,0,0,0,0,0
2025-04-19,CONTENT_001,5308.37,0,0,0,0,0
2025-04-20,CONTENT_001,5034.81,0,0,0,0,0
2025-04-21,CONTENT_001,4032.95,0,0,0,0,0
2025-04-22,CONTENT_001,3768.94,0,0,0,0,0
2025-04-23,CONTENT_001,4324.03,0,0,0,0,0
2025-04-24,CONTENT_001,4346.19,0,0,0,0,0
2025-04-25,CONTENT_001,4154.69,0,0,0,0,0
2025-04-26,CONTENT_001,5082.77,0,0,0,0,0
2025-04-27,CONTENT_001,4882.86,0,0,0,0,0
2025-04-28,CONTENT_001,4424.12,0,0,0,0,0
2025-04-29,CONTENT_001,4408.46,0,0,0,0,0
2025-04-30,CONTENT_001,3855.83,0,0,0,0,0
2025-05-01,CONTENT_001,4663.01,0,1,0,0,0
2025-05-02,CONTENT_001,5382.57,0,1,0,0,0
2025-05-03,CONTENT_001,6043.84,0,1,0,0,0
2025-05-04,CONTENT_001,5582.98,0,1,0,0,0
2025-05-05,CONTENT_001,4626.22,0,1,0,0,0
2025-05-06,CONTENT_001,4999.63,0,1,0,0,0
2025-05-07,CONTENT_001,4716.11,0,1,0,0,0
2025-05-08,CONTENT_001,4133.49,0,0,0,0,0
2025-05-09,CONTENT_001,4190.07,0,0,0,0,0
2025-05-10,CONTENT_001,4441.41,0,0,0,0,1
2025-05-11,CONTENT_001,4696.97,0,0,0,0,1
2025-05-12,CONTENT_001,4165.3,0,0,0,0,1
2025-05-13,CONTENT_001,4099.43,0,0,0,0,0
2025-05-14,CONTENT_001,3962.56,0,0,0,0,0
2025-05-15,CONTENT_001,4281.66,0,0,0,0,0
2025-05-16,CONTENT_001,4542.61,0,0,0,0,0
2025-05-17,CONTENT_001,4871.32,0,0,0,0,0
2025-05-18,CONTENT_001,5134.58,0,0,0,0,0
2025-05-19,CONTENT_001,4024.2,0,0,0,0,0
2025-05-20,CONTENT_001,4204.47,0,0,0,0,0
2025-05-21,CONTENT_001,3955.99,0,0,0,0,0
2025-05-22,CONTENT_001,4202.27,0,0,0,0,0
2025-05-23,CONTENT_001,4175.54,0,0,0,0,0
2025-05-24,CONTENT_001,5083.71,0,0,0,0,0
2025-05-25,CONTENT_001,5329.39,0,0,0,0,0
2025-05-26,CONTENT_001,4118.33,0,0,0,0,0
2025-05-27,CONTENT_001,3780.06,0,0,0,0,0
2025-05-28,CONTENT_001,4157.56,0,0,0,0,0
2025-05-29,CONTENT_001,4262.86,0,0,0,0,0
2025-05-30,CONTENT_001,4242.4,0,0,0,0,0
2025-05-31,CONTENT_001,4922.94,0,0,0,0,0
2025-06-01,CONTENT_001,6160.5,0,1,0,0,0
2025-06-02,CONTENT_001,4984.61,0,1,0,0,0
2025-06-03,CONTENT_001,4933.99,0,1,0,0,0
2025-06-04,CONTENT_001,4792.68,0,1,0,0,0
2025-06-05,CONTENT_001,4589.19,0,1,0,0,0
2025-06-06,CONTENT_001,5025.14,0,1,0,0,0
2025-06-07,CONTENT_001,5899.62,0,1,0,0,0
2025-06-08,CONTENT_001,4733.54,0,0,0,0,0
2025-06-09,CONTENT_001,4190.68,0,0,0,0,0
2025-06-10,CONTENT_001,3749.79,0,0,0,0,1
2025-06-11,CONTENT_001,3648.85,0,0,0,0,1
2025-06-12,CONTENT_001,3613.4,0,0,0,0,1
2025-06-13,CONTENT_001,4285.07,0,0,0,0,0
2025-06-14,CONTENT_001,4908.58,0,0,0,0,0
2025-06-15,CONTENT_001,4831.89,0,0,0,0,0
2025-06-16,CONTENT_001,4019.05,0,0,0,0,0
2025-06-17,CONTENT_001,4172.7,0,0,0,0,0
2025-06-18,CONTENT_001,4394.14,0,0,0,0,0
2025-06-19,CONTENT_001,4243.39,0,0,0,0,0
2025-06-20,CONTENT_001,4150.2,0,0,0,0,0
2025-06-21,CONTENT_001,5020.78,0,0,0,0,0
2025-06-22,CONTENT_001,5242.52,0,0,0,0,0
2025-06-23,CONTENT_001,4302.99,0,0,0,0,0
2025-06-24,CONTENT_001,4254.64,0,0,0,0,0
2025-06-25,CONTENT_001,4334.09,0,0,0,0,0
2025-06-26,CONTENT_001,4166.82,0,0,0,0,0
2025-06-27,CONTENT_001,4238.65,0,0,0,0,0
2025-06-28,CONTENT_001,4853.32,0,0,0,0,0
2025-06-29,CONTENT_001,4630.38,0,0,0,0,0
2025-06-30,CONTENT_001,5532.0,1,0,0,0,0
2025-07-01,CONTENT_001,5028.8,0,1,0,0,0
2025-07-02,CONTENT_001,4895.58,0,1,0,0,0
2025-07-03,CONTENT_001,5173.52,0,1,0,0,0
2025-07-04,CONTENT_001,4804.46,0,1,0,0,0
2025-07-05,CONTENT_001,5476.09,0,1,0,0,0
2025-07-06,CONTENT_001,5701.69,0,1,0,0,0
2025-07-07,CONTENT_001,4632.4,0,1,0,0,0
2025-07-08,CONTENT_001,4270.99,0,0,0,0,0
2025-07-09,CONTENT_001,4042.06,0,0,0,0,0
2025-07-10,CONTENT_001,3986.78,0,0,0,0,1
2025-07-11,CONTENT_001,3982.4,0,0,0,0,1
2025-07-12,CONTENT_001,4266.16,0,0,0,0,1
2025-07-13,CONTENT_001,4786.3,0,0,0,0,0
2025-07-14,CONTENT_001,4312.23,0,0,0,0,0
2025-07-15,CONTENT_001,4405.77,0,0,0,0,0
2025-07-16,CONTENT_001,3777.35,0,0,0,0,0
2025-07-17,CONTENT_001,4259.15,0,0,0,0,0
2025-07-18,CONTENT_001,3738.51,0,0,0,0,0
2025-07-19,CONTENT_001,4840.81,0,0,0,0,0
2025-07-20,CONTENT_001,5185.67,0,0,0,0,0
2025-07-21,CONTENT_001,4832.05,0,0,0,0,0
2025-07-22,CONTENT_001,4149.85,0,0,0,0,0
2025-07-23,CONTENT_001,3938.11,0,0,0,0,0
2025-07-24,CONTENT_001,4092.17,0,0,0,0,0
2025-07-25,CONTENT_001,4213.87,0,0,0,0,0
2025-07-26,CONTENT_001,4815.25,0,0,0,0,0
2025-07-27,CONTENT_001,4761.79,0,0,0,0,0
2025-07-28,CONTENT_001,4110.36,0,0,0,0,0
2025-07-29,CONTENT_001,4283.07,0,0,0,0,0
2025-07-30,CONTENT_001,4164.42,0,0,0,0,0
2025-07-31,CONTENT_001,4014.86,0,0,0,0,0
2025-08-01,CONTENT_001,4815.29,0,1,0,0,0
2025-08-02,CONTENT_001,5761.17,0,1,0,0,0
2025-08-03,CONTENT_001,5638.2,0,1,0,0,0
2025-08-04,CONTENT_001,4807.5,0,1,0,0,0
2025-08-05,CONTENT_001,5091.16,0,1,0,0,0
2025-08-06,CONTENT_001,4907.63,0,1,0,0,0
2025-08-07,CONTENT_001,4587.77,0,1,0,0,0
2025-08-08,CONTENT_001,4415.24,0,0,0,0,0
2025-08-09,CONTENT_001,5043.51,0,0,0,0,0
2025-08-10,CONTENT_001,4169.94,0,0,0,0,1
2025-08-11,CONTENT_001,3703.27,0,0,0,0,1
2025-08-12,CONTENT_001,3613.66,0,0,0,0,1
2025-08-13,CONTENT_001,4342.15,0,0,0,0,0
2025-08-14,CONTENT_001,4121.95,0,0,0,0,0
2025-08-15,CONTENT_001,5159.12,0,0,1,1,0
2025-08-16,CONTENT_001,5411.87,0,0,1,0,0
2025-08-17,CONTENT_001,5140.77,0,0,1,0,0
2025-08-18,CONTENT_001,4915.13,0,0,1,0,0
2025-08-19,CONTENT_001,4759.09,0,0,1,0,0
2025-08-20,CONTENT_001,4463.05,0,0,1,0,0
2025-08-21,CONTENT_001,4240.29,0,0,0,0,0
2025-08-22,CONTENT_001,4404.56,0,0,0,0,0
2025-08-23,CONTENT_001,4967.71,0,0,0,0,0
2025-08-24,CONTENT_001,5282.92,0,0,0,0,0
2025-08-25,CONTENT_001,4812.75,0,0,0,0,0
2025-08-26,CONTENT_001,4173.51,0,0,0,0,0
2025-08-27,CONTENT_001,4077.67,0,0,0,0,0
2025-08-28,CONTENT_001,3992.22,0,0,0,0,0
2025-08-29,CONTENT_001,3735.15,0,0,0,0,0
2025-08-30,CONTENT_001,5218.11,0,0,0,0,0
2025-08-31,CONTENT_001,4881.77,0,0,0,0,0
2025-09-01,CONTENT_001,5139.82,0,1,0,0,0
2025-09-02,CONTENT_001,5182.05,0,1,0,0,0
2025-09-03,CONTENT_001,4729.0,0,1,0,0,0
2025-09-04,CONTENT_001,4760.53,0,1,0,0,0
2025-09-05,CONTENT_001,5322.38,0,1,0,0,0
2025-09-06,CONTENT_001,5833.37,0,1,0,0,0
2025-09-07,CONTENT_001,5709.42,0,1,0,0,0
2025-09-08,CONTENT_001,3980.51,0,0,0,0,0
2025-09-09,CONTENT_001,4170.29,0,0,0,0,0
2025-09-10,CONTENT_001,4096.66,0,0,0,0,1
2025-09-11,CONTENT_001,3923.94,0,0,0,0,1
2025-09-12,CONTENT_001,3818.17,0,0,0,0,1
2025-09-13,CONTENT_001,5289.59,0,0,0,0,0
2025-09-14,CONTENT_001,5249.11,0,0,0,0,0
2025-09-15,CONTENT_001,4270.17,0,0,0,0,0
2025-09-16,CONTENT_001,4782.99,0,0,0,0,0
2025-09-17,CONTENT_001,4148.04,0,0,0,0,0
2025-09-18,CONTENT_001,4430.59,0,0,0,0,0
2025-09-19,CONTENT_001,4117.47,0,0,0,0,0
2025-09-20,CONTENT_001,5145.6,0,0,0,0,0
2025-09-21,CONTENT_001,4903.84,0,0,0,0,0
2025-09-22,CONTENT_001,4296.89,0,0,0,0,0
2025-09-23,CONTENT_001,4701.93,0,0,0,0,0
2025-09-24,CONTENT_001,4399.89,0,0,0,0,0
2025-09-25,CONTENT_001,4300.14,0,0,0,0,0
2025-09-26,CONTENT_001,4037.31,0,0,0,0,0
2025-09-27,CONTENT_001,4995.53,0,0,0,0,0
2025-09-28,CONTENT_001,6231.12,1,0,0,0,0
2025-09-29,CONTENT_001,4386.27,0,0,0,0,0
2025-09-30,CONTENT_001,4380.99,0,0,0,0,0
2025-10-01,CONTENT_001,4918.28,0,1,0,0,0
2025-10-02,CONTENT_001,5900.06,0,1,0,1,0
2025-10-03,CONTENT_001,5275.81,0,1,0,0,0
2025-10-04,CONTENT_001,5879.51,0,1,0,0,0
2025-10-05,CONTENT_001,5966.84,0,1,0,0,0
2025-10-06,CONTENT_001,4832.42,0,1,0,0,0
2025-10-07,CONTENT_001,4898.84,0,1,0,0,0
2025-10-08,CONTENT_001,3973.62,0,0,0,0,0
2025-10-09,CONTENT_001,4099.55,0,0,0,0,0
2025-10-10,CONTENT_001,3758.08,0,0,0,0,1
2025-10-11,CONTENT_001,4111.72,0,0,0,0,1
2025-10-12,CONTENT_001,4581.53,0,0,0,0,1
2025-10-13,CONTENT_001,4414.65,0,0,0,0,0
2025-10-14,CONTENT_001,4198.34,0,0,0,0,0
2025-10-15,CONTENT_001,3633.58,0,0,0,0,0
2025-10-16,CONTENT_001,4146.87,0,0,0,0,0
2025-10-17,CONTENT_001,3907.39,0,0,0,0,0
2025-10-18,CONTENT_001,4827.98,0,0,0,0,0
2025-10-19,CONTENT_001,5260.91,0,0,0,0,0
2025-10-20,CONTENT_001,4108.76,0,0,1,0,0
2025-10-21,CONTENT_001,4448.56,0,0,1,0,0
2025-10-22,CONTENT_001,4794.21,0,0,1,0,0
2025-10-23,CONTENT_001,4472.6,0,0,1,0,0
2025-10-24,CONTENT_001,4456.53,0,0,1,0,0
2025-10-25,CONTENT_001,5878.41,0,0,1,0,0
2025-10-26,CONTENT_001,5531.06,0,0,1,0,0
2025-10-27,CONTENT_001,4816.2,0,0,1,0,0
2025-10-28,CONTENT_001,4723.88,0,0,1,0,0
2025-10-29,CONTENT_001,4653.96,0,0,1,0,0
2025-10-30,CONTENT_001,4885.45,0,0,1,0,0
2025-10-31,CONTENT_001,4600.12,0,0,0,0,0
2025-11-01,CONTENT_001,5494.54,0,1,0,0,0
2025-11-02,CONTENT_001,5840.66,0,1,0,0,0
2025-11-03,CONTENT_001,4946.93,0,1,0,0,0
2025-11-04,CONTENT_001,4865.85,0,1,0,0,0
2025-11-05,CONTENT_001,5162.02,0,1,0,0,0
2025-11-06,CONTENT_001,5009.95,0,1,0,0,0
2025-11-07,CONTENT_001,5360.35,0,1,0,0,0
2025-11-08,CONTENT_001,5187.06,0,0,0,0,0
2025-11-09,CONTENT_001,5242.59,0,0,0,0,0
2025-11-10,CONTENT_001,3528.18,0,0,0,0,1
2025-11-11,CONTENT_001,3610.72,0,0,0,0,1
2025-11-12,CONTENT_001,3628.02,0,0,0,0,1
2025-11-13,CONTENT_001,4477.85,0,0,0,0,0
2025-11-14,CONTENT_001,3996.89,0,0,0,0,0
2025-11-15,CONTENT_001,4759.03,0,0,0,0,0
2025-11-16,CONTENT_001,4720.52,0,0,0,0,0
2025-11-17,CONTENT_001,4778.14,0,0,0,0,0
2025-11-18,CONTENT_001,4170.13,0,0,0,0,0
2025-11-19,CONTENT_001,4311.28,0,0,0,0,0
2025-11-20,CONTENT_001,3960.47,0,0,0,0,0
2025-11-21,CONTENT_001,4401.44,0,0,0,0,0
2025-11-22,CONTENT_001,4583.53,0,0,0,0,0
2025-11-23,CONTENT_001,4750.41,0,0,0,0,0
2025-11-24,CONTENT_001,4046.41,0,0,0,0,0
2025-11-25,CONTENT_001,4245.96,0,0,0,0,0
2025-11-26,CONTENT_001,4033.45,0,0,0,0,0
2025-11-27,CONTENT_001,4520.04,0,0,0,0,0
2025-11-28,CONTENT_001,4305.68,0,0,0,0,0
2025-11-29,CONTENT_001,4811.18,0,0,0,0,0
2025-11-30,CONTENT_001,5165.5,0,0,0,0,0
2025-12-01,CONTENT_001,4873.41,0,1,0,0,0
2025-12-02,CONTENT_001,4832.01,0,1,0,0,0
2025-12-03,CONTENT_001,5144.12,0,1,0,0,0
2025-12-04,CONTENT_001,4440.91,0,1,0,0,0
2025-12-05,CONTENT_001,5110.31,0,1,0,0,0
2025-12-06,CONTENT_001,5698.33,0,1,0,0,0
2025-12-07,CONTENT_001,5698.01,0,1,0,0,0
2025-12-08,CONTENT_001,4611.21,0,0,0,0,0
2025-12-09,CONTENT_001,4088.45,0,0,0,0,0
2025-12-10,CONTENT_001,3980.74,0,0,0,0,1
2025-12-11,CONTENT_001,3838.64,0,0,0,0,1
2025-12-12,CONTENT_001,3860.43,0,0,0,0,1
2025-12-13,CONTENT_001,4903.39,0,0,0,0,0
2025-12-14,CONTENT_001,4892.43,0,0,0,0,0
2025-12-15,CONTENT_001,4520.88,0,0,0,0,0
2025-12-16,CONTENT_001,4395.4,0,0,0,0,0
2025-12-17,CONTENT_001,4095.07,0,0,0,0,0
2025-12-18,CONTENT_001,3980.37,0,0,0,0,0
2025-12-19,CONTENT_001,4077.26,0,0,0,0,0
2025-12-20,CONTENT_001,5162.11,0,0,0,0,0
2025-12-21,CONTENT_001,5203.53,0,0,0,0,0
2025-12-22,CONTENT_001,4316.54,0,0,0,0,0
2025-12-23,CONTENT_001,3860.48,0,0,0,0,0
2025-12-24,CONTENT_001,4358.29,0,0,0,0,0
2025-12-25,CONTENT_001,4977.75,0,0,0,1,0
2025-12-26,CONTENT_001,4236.45,0,0,0,0,0
2025-12-27,CONTENT_001,5371.76,0,0,0,0,0
2025-12-28,CONTENT_001,4678.6,0,0,0,0,0
2025-12-29,CONTENT_001,4343.81,0,0,0,0,0
2025-12-30,CONTENT_001,3985.75,0,0,0,0,0
2025-12-31,CONTENT_001,4422.29,0,0,0,0,0
2026-01-01,CONTENT_001,7344.64,1,1,0,1,0
2026-01-02,CONTENT_001,5334.28,0,1,0,0,0
2026-01-03,CONTENT_001,5953.02,0,1,0,0,0
2026-01-04,CONTENT_001,5763.24,0,1,0,0,0
2026-01-05,CONTENT_001,4852.88,0,1,0,0,0
2026-01-06,CONTENT_001,4903.46,0,1,0,0,0
2026-01-07,CONTENT_001,4848.75,0,1,0,0,0
2026-01-08,CONTENT_001,4482.89,0,0,0,0,0
2026-01-09,CONTENT_001,4467.88,0,0,0,0,0
2026-01-10,CONTENT_001,4146.12,0,0,0,0,1
2026-01-11,CONTENT_001,4468.46,0,0,0,0,1
2026-01-12,CONTENT_001,3793.12,0,0,0,0,1
2026-01-13,CONTENT_001,4035.93,0,0,0,0,0
2026-01-14,CONTENT_001,4292.03,0,0,0,0,0
2026-01-15,CONTENT_001,4506.78,0,0,0,0,0
2026-01-16,CONTENT_001,4387.28,0,0,0,0,0
2026-01-17,CONTENT_001,5238.88,0,0,0,0,0
2026-01-18,CONTENT_001,4805.12,0,0,0,0,0
2026-01-19,CONTENT_001,4207.67,0,0,0,0,0
2026-01-20,CONTENT_001,4039.21,0,0,0,0,0
2026-01-21,CONTENT_001,4250.28,0,0,0,0,0
2026-01-22,CONTENT_001,4269.18,0,0,0,0,0
2026-01-23,CONTENT_001,4401.57,0,0,0,0,0
2026-01-24,CONTENT_001,5231.83,0,0,0,0,0
2026-01-25,CONTENT_001,5100.69,0,0,0,0,0
2026-01-26,CONTENT_001,4523.36,0,0,0,1,0
2026-01-27,CONTENT_001,3916.04,0,0,0,0,0
2026-01-28,CONTENT_001,4309.2,0,0,0,0,0
2026-01-29,CONTENT_001,4515.11,0,0,0,0,0
2026-01-30,CONTENT_001,4194.79,0,0,0,0,0
2026-01-31,CONTENT_001,4635.25,0,0,0,0,0
2026-02-01,CONTENT_001,6285.88,0,1,0,0,0
2026-02-02,CONTENT_001,5058.77,0,1,0,0,0
2026-02-03,CONTENT_001,4991.94,0,1,0,0,0
2026-02-04,CONTENT_001,4710.73,0,1,0,0,0
2026-02-05,CONTENT_001,4959.41,0,1,0,0,0
2026-02-06,CONTENT_001,5100.25,0,1,0,0,0
2026-02-07,CONTENT_001,5953.71,0,1,0,0,0
2026-02-08,CONTENT_001,4813.22,0,0,0,0,0
2026-02-09,CONTENT_001,4188.02,0,0,0,0,0
2026-02-10,CONTENT_001,3650.64,0,0,0,0,1
2026-02-11,CONTENT_001,4129.47,0,0,0,0,1
2026-02-12,CONTENT_001,3967.92,0,0,0,0,1
2026-02-13,CONTENT_001,4089.89,0,0,0,0,0
2026-02-14,CONTENT_001,4710.62,0,0,0,0,0
2026-02-15,CONTENT_001,5014.34,0,0,0,0,0
2026-02-16,CONTENT_001,4096.51,0,0,0,0,0
2026-02-17,CONTENT_001,4112.16,0,0,0,0,0
2026-02-18,CONTENT_001,3961.61,0,0,0,0,0
2026-02-19,CONTENT_001,3987.6,0,0,0,0,0
2026-02-20,CONTENT_001,4234.16,0,0,0,0,0
2026-02-21,CONTENT_001,4899.96,0,0,0,0,0
2026-02-22,CONTENT_001,5480.27,0,0,0,0,0
2026-02-23,CONTENT_001,4324.79,0,0,0,0,0
2026-02-24,CONTENT_001,3958.14,0,0,0,0,0
2026-02-25,CONTENT_001,3877.52,0,0,0,0,0
2026-02-26,CONTENT_001,4283.62,0,0,0,0,0
2026-02-27,CONTENT_001,4116.66,0,0,0,0,0
2026-02-28,CONTENT_001,5235.61,0,0,0,0,0
2026-03-01,CONTENT_001,5907.27,0,1,0,0,0
2026-03-02,CONTENT_001,4539.67,0,1,0,0,0
2026-03-03,CONTENT_001,4741.92,0,1,0,0,0
2026-03-04,CONTENT_001,4814.19,0,1,0,0,0
2026-03-05,CONTENT_001,5048.83,0,1,0,0,0
2026-03-06,CONTENT_001,4734.92,0,1,0,0,0
2026-03-07,CONTENT_001,5880.17,0,1,0,0,0
2026-03-08,CONTENT_001,4675.41,0,0,0,0,0
2026-03-09,CONTENT_001,4201.3,0,0,0,0,0
2026-03-10,CONTENT_001,3857.71,0,0,0,0,1
2026-03-11,CONTENT_001,4086.92,0,0,0,0,1
2026-03-12,CONTENT_001,3831.57,0,0,0,0,1
2026-03-13,CONTENT_001,4028.49,0,0,0,0,0
2026-03-14,CONTENT_001,5269.53,0,0,0,0,0
2026-03-15,CONTENT_001,4917.53,0,0,0,0,0
2026-03-16,CONTENT_001,4362.45,0,0,0,0,0
2026-03-17,CONTENT_001,4071.29,0,0,0,0,0
2026-03-18,CONTENT_001,4219.06,0,0,0,0,0
2026-03-19,CONTENT_001,4031.73,0,0,0,0,0
2026-03-20,CONTENT_001,4267.67,0,0,0,0,0
2026-03-21,CONTENT_001,5124.8,0,0,0,0,0
2026-03-22,CONTENT_001,4852.09,0,0,0,0,0
2026-03-23,CONTENT_001,4084.29,0,0,0,0,0
2026-03-24,CONTENT_001,4274.93,0,0,0,0,0
2026-03-25,CONTENT_001,4026.75,0,0,0,0,0
2026-03-26,CONTENT_001,3881.23,0,0,0,0,0
2026-03-27,CONTENT_001,5534.17,1,0,0,0,0
2026-03-28,CONTENT_001,4933.38,0,0,0,0,0
2026-03-29,CONTENT_001,4928.94,0,0,0,0,0
2026-03-30,CONTENT_001,4309.42,0,0,0,0,0
2026-03-31,CONTENT_001,4338.76,0,0,0,0,0
2026-04-01,CONTENT_001,4922.19,0,1,0,0,0
2026-04-02,CONTENT_001,4720.24,0,1,0,0,0
2026-04-03,CONTENT_001,4821.9,0,1,0,0,0
2026-04-04,CONTENT_001,5970.92,0,1,0,0,0
2026-04-05,CONTENT_001,5876.72,0,1,0,0,0
2026-04-06,CONTENT_001,4840.55,0,1,0,0,0
2026-04-07,CONTENT_001,4791.28,0,1,0,0,0
2026-04-08,CONTENT_001,4329.74,0,0,0,0,0
2026-04-09,CONTENT_001,4153.45,0,0,0,0,0
