date,product_name,units_sold,revenue,temperature_c,footfall_index,festival,holiday,promotion_active
2025-05-02,Vanilla,1609,68616.53,33.0,106,0,0,1
2025-05-03,Vanilla,1997,84971.94,31.8,128,0,0,1
2025-05-04,Vanilla,1922,83421.18,32.6,127,0,0,1
2025-05-05,Vanilla,1450,57648.24,30.2,105,0,0,1
2025-05-06,Vanilla,1682,66853.18,34.9,110,0,0,1
2025-05-07,Vanilla,1704,72679.56,28.3,104,0,0,1
2025-05-08,Vanilla,1287,53480.02,31.9,108,0,0,0
2025-05-09,Vanilla,1463,62202.32,32.8,106,0,0,0
2025-05-10,Vanilla,1720,76442.66,33.6,122,0,0,0
2025-05-11,Vanilla,1682,70161.24,31.0,121,0,0,0
2025-05-12,Vanilla,1543,65110.32,34.5,104,0,0,0
2025-05-13,Vanilla,1406,57067.17,32.7,112,0,0,0
2025-05-14,Vanilla,1282,55069.86,31.6,108,0,0,0
2025-05-15,Vanilla,1230,50208.79,31.4,111,0,0,0
2025-05-16,Vanilla,1346,56170.14,29.6,103,0,0,0
2025-05-17,Vanilla,1633,66115.59,31.6,123,0,0,0
2025-05-18,Vanilla,1694,72562.15,33.0,126,0,0,0
2025-05-19,Vanilla,1423,59110.53,32.3,114,0,0,0
2025-05-20,Vanilla,1264,51402.84,30.6,101,0,0,0
2025-05-21,Vanilla,1393,56906.41,31.6,107,0,0,0
2025-05-22,Vanilla,1415,58044.19,32.9,108,0,0,0
2025-05-23,Vanilla,1305,54676.93,32.3,106,0,0,0
2025-05-24,Vanilla,1626,64743.69,31.8,119,0,0,0
2025-05-25,Vanilla,1669,71007.91,33.3,128,0,0,0
2025-05-26,Vanilla,1263,51014.84,27.6,100,0,0,0
2025-05-27,Vanilla,1347,54881.91,32.2,113,0,0,0
2025-05-28,Vanilla,1320,55933.09,31.4,111,0,0,0
2025-05-29,Vanilla,1322,54683.99,33.6,98,0,0,0
2025-05-30,Vanilla,1380,54285.83,30.0,108,0,0,0
2025-05-31,Vanilla,1700,69799.65,31.5,120,0,0,0
2025-06-01,Vanilla,1634,69726.29,29.7,124,0,0,0
2025-06-02,Vanilla,1243,52644.67,28.0,106,0,0,0
2025-06-03,Vanilla,1264,50656.12,28.3,106,0,0,0
2025-06-04,Vanilla,1345,59417.75,31.4,105,0,0,0
2025-06-05,Vanilla,1362,55938.02,29.5,104,0,0,0
2025-06-06,Vanilla,1335,58798.69,30.8,101,0,0,0
2025-06-07,Vanilla,1618,74143.22,28.4,112,0,0,0
2025-06-08,Vanilla,1514,62937.99,29.3,114,0,0,0
2025-06-09,Vanilla,1367,58489.5,29.5,99,0,0,0
2025-06-10,Vanilla,1446,61104.98,27.4,106,0,0,0
2025-06-11,Vanilla,1373,54101.68,29.0,102,0,0,0
2025-06-12,Vanilla,1469,61314.21,29.7,101,0,0,0
2025-06-13,Vanilla,1420,60320.32,31.8,98,0,0,0
2025-06-14,Vanilla,1616,67087.13,27.9,121,0,0,0
2025-06-15,Vanilla,1432,59408.65,26.5,120,0,0,0
2025-06-16,Vanilla,1195,51054.1,28.8,95,0,0,0
2025-06-17,Vanilla,1332,56488.19,28.1,92,0,0,0
2025-06-18,Vanilla,1343,57109.77,27.7,97,0,0,0
2025-06-19,Vanilla,1437,59994.19,32.2,104,0,0,0
2025-06-20,Vanilla,1444,59518.81,29.7,104,0,0,0
2025-06-21,Vanilla,1574,69645.66,27.7,118,0,0,0
2025-06-22,Vanilla,1538,64029.03,27.6,118,0,0,0
2025-06-23,Vanilla,1259,51400.41,29.6,92,0,0,0
2025-06-24,Vanilla,1169,48745.36,24.5,97,0,0,0
2025-06-25,Vanilla,1272,53315.33,29.6,100,0,0,0
2025-06-26,Vanilla,1265,54189.85,29.4,97,0,0,0
2025-06-27,Vanilla,1304,56140.45,27.3,103,0,0,0
2025-06-28,Vanilla,1467,58938.43,26.0,119,0,0,0
2025-06-29,Vanilla,1443,58393.27,25.1,121,0,0,0
2025-06-30,Vanilla,1150,45718.3,27.2,105,0,0,0
2025-07-01,Vanilla,1300,56096.27,25.8,106,0,0,0
2025-07-02,Vanilla,1269,53408.93,25.4,96,0,0,0
2025-07-03,Vanilla,1323,55879.79,27.8,99,0,0,0
2025-07-04,Vanilla,1210,46741.21,28.0,103,0,0,0
2025-07-05,Vanilla,1488,58344.85,28.2,122,0,0,0
2025-07-06,Vanilla,1640,70150.09,26.7,121,0,0,0
2025-07-07,Vanilla,1254,52105.08,25.9,96,0,0,0
2025-07-08,Vanilla,1394,60923.48,24.8,107,0,0,0
2025-07-09,Vanilla,1300,55462.96,24.8,103,0,0,0
2025-07-10,Vanilla,1371,58891.8,28.0,102,0,0,0
2025-07-11,Vanilla,1262,51951.13,26.5,92,0,0,0
2025-07-12,Vanilla,1601,70506.17,23.9,123,0,0,0
2025-07-13,Vanilla,1507,63752.42,26.1,122,0,0,0
2025-07-14,Vanilla,1255,50257.76,24.0,100,0,0,0
2025-07-15,Vanilla,1378,59724.34,25.4,98,0,0,0
2025-07-16,Vanilla,1261,52578.19,25.4,99,0,0,0
2025-07-17,Vanilla,1192,47828.44,23.6,97,0,0,0
2025-07-18,Vanilla,1148,48004.74,25.9,99,0,0,0
2025-07-19,Vanilla,1585,66662.52,26.5,120,0,0,0
2025-07-20,Vanilla,1467,62448.61,23.7,111,0,0,0
2025-07-21,Vanilla,1290,51772.46,26.7,102,0,0,0
2025-07-22,Vanilla,1235,50799.45,24.2,98,0,0,0
2025-07-23,Vanilla,1197,50833.21,25.0,95,0,0,0
2025-07-24,Vanilla,1268,51088.81,23.9,98,0,0,0
2025-07-25,Vanilla,1184,45968.82,23.6,103,0,0,0
2025-07-26,Vanilla,1462,61146.08,21.5,115,0,0,0
2025-07-27,Vanilla,1474,65360.34,26.0,104,0,0,0
2025-07-28,Vanilla,1190,48383.59,22.3,95,0,0,0
2025-07-29,Vanilla,1392,57762.56,23.4,102,0,0,0
2025-07-30,Vanilla,1406,58855.23,26.7,96,0,0,0
2025-07-31,Vanilla,1471,63660.36,23.9,98,0,0,0
2025-08-01,Vanilla,1235,50962.74,22.5,100,0,0,0
2025-08-02,Vanilla,1480,62191.05,24.9,114,0,0,0
2025-08-03,Vanilla,1333,57318.81,23.9,116,0,0,0
2025-08-04,Vanilla,1226,51646.44,21.8,90,0,0,0
2025-08-05,Vanilla,1166,48260.26,22.1,99,0,0,0
2025-08-06,Vanilla,1267,51298.5,22.2,95,0,0,0
2025-08-07,Vanilla,1119,43710.5,24.1,96,0,0,0
2025-08-08,Vanilla,1239,51985.99,22.9,94,0,0,0
2025-08-09,Vanilla,1399,56298.62,23.1,117,0,0,0
2025-08-10,Vanilla,1816,75097.03,21.1,114,0,0,1
2025-08-11,Vanilla,1391,57258.3,18.8,88,0,0,1
2025-08-12,Vanilla,1453,63313.04,21.9,95,0,0,1
2025-08-13,Vanilla,1494,59306.63,21.4,91,0,0,1
2025-08-14,Vanilla,1466,65064.62,22.9,95,0,0,1
2025-08-15,Vanilla,1839,73715.35,21.3,103,1,1,1
2025-08-16,Vanilla,1828,77864.67,22.3,108,1,0,1
2025-08-17,Vanilla,1669,72995.82,22.9,110,1,0,0
2025-08-18,Vanilla,1477,57867.09,24.1,96,1,0,0
2025-08-19,Vanilla,1372,56447.96,21.4,91,1,0,0
2025-08-20,Vanilla,1263,53829.93,21.6,102,0,0,0
2025-08-21,Vanilla,1252,53425.95,21.4,94,0,0,0
2025-08-22,Vanilla,1293,55449.43,23.4,100,0,0,0
2025-08-23,Vanilla,1529,66204.1,19.8,111,0,0,0
2025-08-24,Vanilla,1512,66226.29,21.8,115,0,0,0
2025-08-25,Vanilla,1271,47794.82,21.9,92,0,0,0
2025-08-26,Vanilla,1087,46390.61,21.9,79,0,0,0
2025-08-27,Vanilla,1188,52338.3,22.0,89,0,0,0
2025-08-28,Vanilla,1281,54586.04,20.5,102,0,0,0
2025-08-29,Vanilla,1185,49574.96,23.6,94,0,0,0
2025-08-30,Vanilla,1431,58508.88,21.0,106,0,0,0
2025-08-31,Vanilla,1449,60627.21,22.4,111,0,0,0
2025-09-01,Vanilla,1193,48242.08,21.3,96,0,0,0
2025-09-02,Vanilla,1151,49108.24,22.6,91,0,0,0
2025-09-03,Vanilla,1251,53922.32,21.5,87,0,0,0
2025-09-04,Vanilla,1166,49550.99,21.3,95,0,0,0
2025-09-05,Vanilla,1309,57882.56,20.3,91,0,0,0
2025-09-06,Vanilla,1482,63028.1,23.4,116,0,0,0
2025-09-07,Vanilla,1481,64031.97,21.8,111,0,0,0
2025-09-08,Vanilla,1218,52314.15,20.5,90,0,0,0
2025-09-09,Vanilla,1307,54159.12,20.5,94,0,0,0
2025-09-10,Vanilla,1176,51936.23,21.6,94,0,0,0
2025-09-11,Vanilla,1164,47105.26,19.7,86,0,0,0
2025-09-12,Vanilla,1231,52846.28,20.5,91,0,0,0
2025-09-13,Vanilla,1506,64643.85,20.9,112,0,0,0
2025-09-14,Vanilla,1318,55427.29,17.2,109,0,0,0
2025-09-15,Vanilla,1354,57279.84,20.3,97,0,0,0
2025-09-16,Vanilla,1229,51615.43,19.5,94,0,0,0
2025-09-17,Vanilla,1308,56265.06,21.7,90,0,0,0
2025-09-18,Vanilla,1320,55641.81,18.8,96,0,0,0
2025-09-19,Vanilla,1212,51890.44,19.0,89,0,0,0
2025-09-20,Vanilla,1397,58246.37,18.7,112,0,0,0
2025-09-21,Vanilla,1417,62642.77,20.3,120,0,0,0
2025-09-22,Vanilla,1275,54400.54,20.3,94,0,0,0
2025-09-23,Vanilla,1249,54579.24,19.8,98,0,0,0
2025-09-24,Vanilla,1187,50664.17,19.1,92,0,0,0
2025-09-25,Vanilla,1248,50329.44,22.2,92,0,0,0
2025-09-26,Vanilla,1180,49961.41,19.7,86,0,0,0
2025-09-27,Vanilla,1480,65346.37,22.0,121,0,0,0
2025-09-28,Vanilla,1508,63476.06,20.4,109,0,0,0
2025-09-29,Vanilla,1163,46153.15,20.2,90,0,0,0
2025-09-30,Vanilla,1220,51255.57,21.0,91,0,0,0
2025-10-01,Vanilla,1223,53615.63,21.2,93,0,0,0
2025-10-02,Vanilla,1492,65443.51,22.4,94,0,1,0
2025-10-03,Vanilla,1316,56297.81,21.7,94,0,0,0
2025-10-04,Vanilla,1401,57172.15,18.4,113,0,0,0
2025-10-05,Vanilla,1600,66547.98,22.0,113,0,0,0
2025-10-06,Vanilla,1272,53574.71,18.3,91,0,0,0
2025-10-07,Vanilla,1288,52185.97,21.7,91,0,0,0
2025-10-08,Vanilla,1217,50683.49,20.7,92,0,0,0
2025-10-09,Vanilla,1388,58091.04,19.8,91,0,0,0
2025-10-10,Vanilla,1181,49135.97,19.7,84,0,0,0
2025-10-11,Vanilla,1497,65767.2,19.1,116,0,0,0
2025-10-12,Vanilla,1484,62336.45,20.2,110,0,0,0
2025-10-13,Vanilla,1104,45468.51,22.7,83,0,0,0
2025-10-14,Vanilla,1314,54430.65,20.2,95,0,0,0
2025-10-15,Vanilla,1299,56433.74,21.7,96,0,0,0
2025-10-16,Vanilla,1315,55448.18,20.6,90,0,0,0
2025-10-17,Vanilla,1124,44817.78,20.2,98,0,0,0
2025-10-18,Vanilla,1471,58456.09,18.5,109,0,0,0
2025-10-19,Vanilla,1651,73804.01,18.8,107,0,0,0
2025-10-20,Vanilla,1319,51622.76,19.7,91,1,0,0
2025-10-21,Vanilla,1385,54845.57,20.2,88,1,0,0
2025-10-22,Vanilla,1433,61083.36,19.3,93,1,0,0
2025-10-23,Vanilla,1363,58539.88,18.5,96,1,0,0
2025-10-24,Vanilla,1365,58078.08,20.5,87,1,0,0
2025-10-25,Vanilla,1752,76231.74,21.5,110,1,0,0
2025-10-26,Vanilla,1795,80668.6,20.2,114,1,0,0
2025-10-27,Vanilla,1498,60538.04,18.8,89,1,0,0
2025-10-28,Vanilla,1432,59924.05,18.7,91,1,0,0
2025-10-29,Vanilla,1352,55000.35,19.8,90,1,0,0
2025-10-30,Vanilla,1477,60950.45,24.2,94,1,0,0
2025-10-31,Vanilla,1092,43606.82,20.6,90,0,0,0
2025-11-01,Vanilla,1536,67564.7,18.2,102,1,0,0
2025-11-02,Vanilla,1705,73611.39,20.9,116,1,0,0
2025-11-03,Vanilla,1473,60591.9,19.7,95,1,0,0
2025-11-04,Vanilla,1386,55877.76,22.0,96,1,0,0
2025-11-05,Vanilla,1440,58768.14,19.4,94,1,0,0
2025-11-06,Vanilla,1339,59354.95,21.3,96,0,0,0
2025-11-07,Vanilla,1392,57355.32,23.2,90,0,0,0
2025-11-08,Vanilla,1483,58264.78,23.0,112,0,0,0
2025-11-09,Vanilla,1556,68892.19,21.2,105,0,0,0
2025-11-10,Vanilla,1245,51116.3,20.3,95,0,0,0
2025-11-11,Vanilla,1412,58282.63,22.8,94,0,0,0
2025-11-12,Vanilla,1349,55753.18,23.2,94,0,0,0
2025-11-13,Vanilla,1235,53096.51,21.7,94,0,0,0
2025-11-14,Vanilla,1409,62241.19,22.8,96,0,0,0
2025-11-15,Vanilla,1480,62211.85,21.4,114,0,0,0
2025-11-16,Vanilla,1567,65301.52,21.1,119,0,0,0
2025-11-17,Vanilla,1130,48808.95,23.9,86,0,0,0
2025-11-18,Vanilla,1210,50777.83,22.3,96,0,0,0
2025-11-19,Vanilla,1328,54901.4,25.3,98,0,0,0
2025-11-20,Vanilla,1289,55772.74,21.8,86,0,0,0
2025-11-21,Vanilla,1212,49148.99,20.1,92,0,0,0
2025-11-22,Vanilla,1536,66248.88,22.6,105,0,0,0
2025-11-23,Vanilla,1420,62266.08,22.3,103,0,0,0
2025-11-24,Vanilla,1217,52582.74,18.6,94,0,0,0
2025-11-25,Vanilla,1348,60328.85,21.8,97,0,0,0
2025-11-26,Vanilla,1207,52849.24,22.6,97,0,0,0
2025-11-27,Vanilla,1297,51433.41,21.9,93,0,0,0
2025-11-28,Vanilla,1340,53086.32,23.5,99,0,0,0
2025-11-29,Vanilla,1413,57068.03,23.0,117,0,0,0
2025-11-30,Vanilla,1565,70095.16,24.7,115,0,0,0
2025-12-01,Vanilla,1505,62727.34,24.1,99,0,0,0
2025-12-02,Vanilla,1346,55468.56,22.3,98,0,0,0
2025-12-03,Vanilla,1364,55789.74,22.1,105,0,0,0
2025-12-04,Vanilla,1296,55525.06,25.1,96,0,0,0
2025-12-05,Vanilla,1450,61913.94,21.9,98,0,0,0
2025-12-06,Vanilla,1503,62553.44,23.4,113,0,0,0
2025-12-07,Vanilla,1434,62082.16,23.5,118,0,0,0
2025-12-08,Vanilla,1243,54683.23,23.6,98,0,0,0
2025-12-09,Vanilla,1253,54184.33,26.2,101,0,0,0
2025-12-10,Vanilla,1295,55098.11,25.0,91,0,0,0
2025-12-11,Vanilla,1350,59684.06,25.4,98,0,0,0
2025-12-12,Vanilla,1294,54028.41,26.5,86,0,0,0
2025-12-13,Vanilla,1634,65964.82,22.1,116,0,0,0
2025-12-14,Vanilla,1497,66191.49,25.4,112,0,0,0
2025-12-15,Vanilla,1199,53707.38,24.2,100,0,0,0
2025-12-16,Vanilla,1384,55201.21,26.0,97,0,0,0
2025-12-17,Vanilla,1353,55828.18,27.0,97,0,0,0
2025-12-18,Vanilla,1592,68420.37,24.5,101,0,0,1
2025-12-19,Vanilla,1556,70556.19,25.4,100,0,0,1
2025-12-20,Vanilla,1950,79407.44,23.2,121,0,0,1
2025-12-21,Vanilla,2053,86312.29,29.0,120,0,0,1
2025-12-22,Vanilla,1605,70783.36,25.5,98,0,0,1
2025-12-23,Vanilla,1645,71362.94,26.2,95,0,0,1
2025-12-24,Vanilla,1621,65823.16,27.0,102,0,0,1
2025-12-25,Vanilla,1748,73197.2,24.9,92,0,1,1
2025-12-26,Vanilla,1457,63643.6,25.6,87,0,0,1
2025-12-27,Vanilla,1766,77983.13,25.4,119,0,0,1
2025-12-28,Vanilla,2053,90895.88,26.3,119,0,0,1
2025-12-29,Vanilla,1578,67482.93,26.2,97,0,0,1
2025-12-30,Vanilla,1718,71861.68,26.6,98,0,0,1
2025-12-31,Vanilla,1855,78904.24,30.3,100,0,0,1
2026-01-01,Vanilla,1522,64973.51,28.4,97,0,1,0
2026-01-02,Vanilla,1339,53505.92,28.6,100,0,0,0
2026-01-03,Vanilla,1553,67846.79,25.1,111,0,0,0
2026-01-04,Vanilla,1588,66308.21,27.3,109,0,0,0
2026-01-05,Vanilla,1430,63719.05,30.6,95,0,0,0
2026-01-06,Vanilla,1439,61150.18,28.3,103,0,0,0
2026-01-07,Vanilla,1488,59431.46,28.9,98,0,0,0
2026-01-08,Vanilla,1387,58206.8,28.3,102,0,0,0
2026-01-09,Vanilla,1357,54746.83,27.0,97,0,0,0
2026-01-10,Vanilla,1709,68749.28,28.6,115,0,0,0
2026-01-11,Vanilla,1727,73389.62,27.3,117,0,0,0
2026-01-12,Vanilla,1284,53844.92,28.0,104,0,0,0
2026-01-13,Vanilla,1514,64832.8,31.4,102,0,0,0
2026-01-14,Vanilla,1325,56067.95,29.9,94,0,0,0
2026-01-15,Vanilla,1413,55245.76,27.6,107,0,0,0
2026-01-16,Vanilla,1345,56109.94,26.9,91,0,0,0
2026-01-17,Vanilla,1778,74221.57,28.3,124,0,0,0
2026-01-18,Vanilla,1657,70362.99,25.8,123,0,0,0
2026-01-19,Vanilla,1615,65505.79,30.6,98,0,0,0
2026-01-20,Vanilla,1400,61984.37,30.4,96,0,0,0
2026-01-21,Vanilla,1484,62094.36,29.0,106,0,0,0
2026-01-22,Vanilla,1392,56786.83,31.5,102,0,0,0
2026-01-23,Vanilla,1391,56910.66,30.4,105,0,0,0
2026-01-24,Vanilla,1601,65732.97,28.8,120,0,0,0
2026-01-25,Vanilla,1769,73911.09,28.7,124,0,0,0
2026-01-26,Vanilla,1592,64125.36,29.3,104,0,1,0
2026-01-27,Vanilla,1363,57577.33,28.6,101,0,0,0
2026-01-28,Vanilla,1496,62338.46,31.2,97,0,0,0
2026-01-29,Vanilla,1407,56429.73,30.8,104,0,0,0
2026-01-30,Vanilla,1362,57910.32,30.4,108,0,0,0
2026-01-31,Vanilla,1844,75503.31,32.2,121,0,0,0
2026-02-01,Vanilla,1568,68073.39,30.4,116,0,0,0
2026-02-02,Vanilla,1371,54682.4,29.2,102,0,0,0
2026-02-03,Vanilla,1522,64957.15,30.5,101,0,0,0
2026-02-04,Vanilla,1641,66294.12,31.3,105,0,0,0
2026-02-05,Vanilla,1622,64664.85,30.9,109,0,0,0
2026-02-06,Vanilla,1567,66272.97,30.6,110,0,0,0
2026-02-07,Vanilla,1790,74502.38,30.8,121,0,0,0
2026-02-08,Vanilla,1742,74554.45,31.2,123,0,0,0
2026-02-09,Vanilla,1635,66805.63,35.7,98,0,0,0
2026-02-10,Vanilla,1611,70502.61,32.3,105,0,0,0
2026-02-11,Vanilla,1403,62273.11,31.8,110,0,0,0
2026-02-12,Vanilla,1490,60723.23,32.2,110,0,0,0
2026-02-13,Vanilla,1571,68537.66,31.9,105,0,0,0
2026-02-14,Vanilla,1752,73048.46,29.2,127,0,0,0
2026-02-15,Vanilla,1594,68498.31,29.7,126,0,0,0
2026-02-16,Vanilla,1493,65325.18,29.7,106,0,0,0
2026-02-17,Vanilla,1507,66171.35,31.8,103,0,0,0
2026-02-18,Vanilla,1560,61852.81,33.0,104,0,0,0
2026-02-19,Vanilla,1604,67677.46,32.8,99,0,0,0
2026-02-20,Vanilla,1632,72946.21,35.9,102,0,0,0
2026-02-21,Vanilla,1892,79469.67,34.2,121,0,0,0
2026-02-22,Vanilla,1834,72631.76,32.9,121,0,0,0
2026-02-23,Vanilla,1573,62255.29,32.7,108,0,0,0
2026-02-24,Vanilla,1572,65362.34,34.1,108,0,0,0
2026-02-25,Vanilla,1473,64580.2,30.4,102,0,0,0
