date,component_id,component_demand,current_inventory,supplier_lead_time_days,supplier_disruption,planned_production_units,scheduled_receipts,plant_maintenance,festival
2025-01-31,BRAKE_PAD_FRONT,377.0,2728.0,12,0,989,0,0,0
2025-02-01,BRAKE_PAD_FRONT,464.0,2264.0,12,0,1095,0,0,0
2025-02-02,BRAKE_PAD_FRONT,461.0,5040.0,12,0,1032,3237,0,0
2025-02-03,BRAKE_PAD_FRONT,503.0,4537.0,12,0,1181,0,0,0
2025-02-04,BRAKE_PAD_FRONT,424.0,4113.0,12,0,1114,0,0,0
2025-02-05,BRAKE_PAD_FRONT,433.0,3680.0,12,0,1149,0,0,0
2025-02-06,BRAKE_PAD_FRONT,459.0,3221.0,12,0,1125,0,0,0
2025-02-07,BRAKE_PAD_FRONT,499.0,2722.0,12,0,1189,0,0,0
2025-02-08,BRAKE_PAD_FRONT,470.0,2252.0,12,0,1155,0,0,0
2025-02-09,BRAKE_PAD_FRONT,507.0,5040.0,12,0,1188,3295,0,0
2025-02-10,BRAKE_PAD_FRONT,397.0,4643.0,12,0,1137,0,1,0
2025-02-11,BRAKE_PAD_FRONT,461.0,4182.0,12,0,1192,0,1,0
2025-02-12,BRAKE_PAD_FRONT,358.0,3824.0,12,0,1027,0,1,0
2025-02-13,BRAKE_PAD_FRONT,457.0,3367.0,12,0,1068,0,0,0
2025-02-14,BRAKE_PAD_FRONT,441.0,2926.0,12,0,1092,0,0,0
2025-02-15,BRAKE_PAD_FRONT,417.0,2509.0,12,0,1001,0,0,0
2025-02-16,BRAKE_PAD_FRONT,379.0,2130.0,12,0,921,0,0,0
2025-02-17,BRAKE_PAD_FRONT,438.0,5040.0,12,0,1010,3348,0,0
2025-02-18,BRAKE_PAD_FRONT,403.0,4637.0,12,0,940,0,0,0
2025-02-19,BRAKE_PAD_FRONT,433.0,4204.0,12,0,985,0,0,0
2025-02-20,BRAKE_PAD_FRONT,384.0,3820.0,12,0,905,0,0,0
2025-02-21,BRAKE_PAD_FRONT,343.0,3477.0,12,0,885,0,0,0
2025-02-22,BRAKE_PAD_FRONT,354.0,3123.0,12,0,863,0,0,0
2025-02-23,BRAKE_PAD_FRONT,355.0,2768.0,12,0,916,0,0,0
2025-02-24,BRAKE_PAD_FRONT,336.0,2432.0,12,0,897,0,0,0
2025-02-25,BRAKE_PAD_FRONT,395.0,2037.0,17,1,916,0,0,0
2025-02-26,BRAKE_PAD_FRONT,339.0,5040.0,12,0,866,3342,0,0
2025-02-27,BRAKE_PAD_FRONT,384.0,4656.0,12,0,898,0,0,0
2025-02-28,BRAKE_PAD_FRONT,388.0,4268.0,12,0,916,0,0,0
2025-03-01,BRAKE_PAD_FRONT,408.0,3860.0,12,0,988,0,0,0
2025-03-02,BRAKE_PAD_FRONT,373.0,3487.0,12,0,1009,0,0,0
2025-03-03,BRAKE_PAD_FRONT,459.0,3028.0,12,0,1064,0,0,0
2025-03-04,BRAKE_PAD_FRONT,396.0,2632.0,12,0,997,0,0,0
2025-03-05,BRAKE_PAD_FRONT,453.0,2179.0,12,0,1125,0,0,0
2025-03-06,BRAKE_PAD_FRONT,458.0,5040.0,12,0,1138,3319,0,0
2025-03-07,BRAKE_PAD_FRONT,509.0,4531.0,12,0,1175,0,0,0
2025-03-08,BRAKE_PAD_FRONT,493.0,4038.0,12,0,1185,0,0,0
2025-03-09,BRAKE_PAD_FRONT,458.0,3580.0,12,0,1117,0,0,0
2025-03-10,BRAKE_PAD_FRONT,428.0,3152.0,12,0,1128,0,1,0
2025-03-11,BRAKE_PAD_FRONT,400.0,2752.0,12,0,1163,0,1,0
2025-03-12,BRAKE_PAD_FRONT,354.0,2398.0,12,0,1038,0,1,0
2025-03-13,BRAKE_PAD_FRONT,442.0,5040.0,12,0,1098,3084,0,0
2025-03-14,BRAKE_PAD_FRONT,417.0,4623.0,12,0,1013,0,0,0
2025-03-15,BRAKE_PAD_FRONT,462.0,4161.0,12,0,1066,0,0,0
2025-03-16,BRAKE_PAD_FRONT,401.0,3760.0,12,0,950,0,0,0
2025-03-17,BRAKE_PAD_FRONT,422.0,3338.0,12,0,995,0,0,0
2025-03-18,BRAKE_PAD_FRONT,417.0,2921.0,12,0,934,0,0,0
2025-03-19,BRAKE_PAD_FRONT,378.0,2543.0,12,0,904,0,0,0
2025-03-20,BRAKE_PAD_FRONT,352.0,2191.0,12,0,855,0,0,0
2025-03-21,BRAKE_PAD_FRONT,407.0,5040.0,12,0,961,3256,0,0
2025-03-22,BRAKE_PAD_FRONT,323.0,4717.0,12,0,764,0,0,0
2025-03-23,BRAKE_PAD_FRONT,350.0,4367.0,12,0,824,0,0,0
2025-03-24,BRAKE_PAD_FRONT,360.0,4007.0,12,0,798,0,0,0
2025-03-25,BRAKE_PAD_FRONT,349.0,3658.0,12,0,839,0,0,0
2025-03-26,BRAKE_PAD_FRONT,390.0,3268.0,12,0,900,0,0,0
2025-03-27,BRAKE_PAD_FRONT,339.0,2929.0,12,0,836,0,0,0
2025-03-28,BRAKE_PAD_FRONT,332.0,2597.0,12,0,860,0,0,0
2025-03-29,BRAKE_PAD_FRONT,408.0,2189.0,12,0,936,0,0,0
2025-03-30,BRAKE_PAD_FRONT,350.0,5040.0,12,0,872,3201,0,0
2025-03-31,BRAKE_PAD_FRONT,384.0,4656.0,12,0,977,0,0,0
2025-04-01,BRAKE_PAD_FRONT,398.0,4258.0,12,0,956,0,0,0
2025-04-02,BRAKE_PAD_FRONT,454.0,3804.0,12,0,1130,0,0,0
2025-04-03,BRAKE_PAD_FRONT,421.0,3383.0,12,0,1004,0,0,0
2025-04-04,BRAKE_PAD_FRONT,421.0,2962.0,12,0,1043,0,0,0
2025-04-05,BRAKE_PAD_FRONT,484.0,2478.0,12,0,1126,0,0,0
2025-04-06,BRAKE_PAD_FRONT,444.0,2034.0,12,0,1125,0,0,0
2025-04-07,BRAKE_PAD_FRONT,485.0,5040.0,12,0,1179,3491,0,0
2025-04-08,BRAKE_PAD_FRONT,524.0,4516.0,12,0,1210,0,0,0
2025-04-09,BRAKE_PAD_FRONT,486.0,4030.0,12,0,1164,0,0,0
2025-04-10,BRAKE_PAD_FRONT,409.0,3621.0,12,0,1095,0,1,0
2025-04-11,BRAKE_PAD_FRONT,371.0,3250.0,12,0,1104,0,1,0
2025-04-12,BRAKE_PAD_FRONT,385.0,2865.0,17,1,1150,0,1,0
2025-04-13,BRAKE_PAD_FRONT,426.0,2439.0,12,0,1077,0,0,0
2025-04-14,BRAKE_PAD_FRONT,468.0,5040.0,12,0,1007,3069,0,0
2025-04-15,BRAKE_PAD_FRONT,425.0,4615.0,12,0,998,0,0,0
2025-04-16,BRAKE_PAD_FRONT,398.0,4217.0,12,0,971,0,0,0
2025-04-17,BRAKE_PAD_FRONT,399.0,3818.0,12,0,951,0,0,0
2025-04-18,BRAKE_PAD_FRONT,436.0,3382.0,12,0,984,0,0,0
2025-04-19,BRAKE_PAD_FRONT,382.0,3000.0,12,0,941,0,0,0
2025-04-20,BRAKE_PAD_FRONT,357.0,2643.0,12,0,864,0,0,0
2025-04-21,BRAKE_PAD_FRONT,379.0,2264.0,12,0,877,0,0,0
2025-04-22,BRAKE_PAD_FRONT,338.0,5040.0,12,0,814,3114,0,0
2025-04-23,BRAKE_PAD_FRONT,386.0,4654.0,12,0,891,0,0,0
2025-04-24,BRAKE_PAD_FRONT,320.0,4334.0,12,0,842,0,0,0
2025-04-25,BRAKE_PAD_FRONT,411.0,3923.0,12,0,938,0,0,0
2025-04-26,BRAKE_PAD_FRONT,348.0,3575.0,12,0,856,0,0,0
2025-04-27,BRAKE_PAD_FRONT,378.0,3197.0,12,0,876,0,0,0
2025-04-28,BRAKE_PAD_FRONT,412.0,2785.0,12,0,965,0,0,0
2025-04-29,BRAKE_PAD_FRONT,453.0,2332.0,12,0,1025,0,0,0
2025-04-30,BRAKE_PAD_FRONT,420.0,5040.0,12,0,990,3128,0,0
2025-05-01,BRAKE_PAD_FRONT,439.0,4601.0,12,0,1025,0,0,0
2025-05-02,BRAKE_PAD_FRONT,389.0,4212.0,12,0,1074,0,0,0
2025-05-03,BRAKE_PAD_FRONT,464.0,3748.0,12,0,1145,0,0,0
2025-05-04,BRAKE_PAD_FRONT,422.0,3326.0,12,0,1032,0,0,0
2025-05-05,BRAKE_PAD_FRONT,463.0,2863.0,12,0,1075,0,0,0
2025-05-06,BRAKE_PAD_FRONT,541.0,2322.0,12,0,1231,0,0,0
2025-05-07,BRAKE_PAD_FRONT,469.0,5040.0,12,0,1124,3187,0,0
2025-05-08,BRAKE_PAD_FRONT,471.0,4569.0,12,0,1154,0,0,0
2025-05-09,BRAKE_PAD_FRONT,497.0,4072.0,12,0,1128,0,0,0
2025-05-10,BRAKE_PAD_FRONT,403.0,3669.0,12,0,1146,0,1,0
2025-05-11,BRAKE_PAD_FRONT,383.0,3286.0,12,0,1058,0,1,0
2025-05-12,BRAKE_PAD_FRONT,401.0,2885.0,12,0,1098,0,1,0
2025-05-13,BRAKE_PAD_FRONT,457.0,2428.0,12,0,1101,0,0,0
2025-05-14,BRAKE_PAD_FRONT,449.0,5040.0,12,0,1082,3061,0,0
2025-05-15,BRAKE_PAD_FRONT,441.0,4599.0,12,0,1059,0,0,0
2025-05-16,BRAKE_PAD_FRONT,473.0,4126.0,12,0,1057,0,0,0
2025-05-17,BRAKE_PAD_FRONT,404.0,3722.0,12,0,992,0,0,0
2025-05-18,BRAKE_PAD_FRONT,467.0,3255.0,12,0,1045,0,0,0
2025-05-19,BRAKE_PAD_FRONT,406.0,2849.0,12,0,896,0,0,0
2025-05-20,BRAKE_PAD_FRONT,305.0,2544.0,12,0,834,0,0,0
2025-05-21,BRAKE_PAD_FRONT,357.0,2187.0,12,0,861,0,0,0
2025-05-22,BRAKE_PAD_FRONT,391.0,5040.0,12,0,1004,3244,0,0
2025-05-23,BRAKE_PAD_FRONT,362.0,4678.0,12,0,879,0,0,0
2025-05-24,BRAKE_PAD_FRONT,333.0,4345.0,12,0,860,0,0,0
2025-05-25,BRAKE_PAD_FRONT,341.0,4004.0,17,1,806,0,0,0
2025-05-26,BRAKE_PAD_FRONT,349.0,3655.0,12,0,835,0,0,0
2025-05-27,BRAKE_PAD_FRONT,426.0,3229.0,12,0,933,0,0,0
2025-05-28,BRAKE_PAD_FRONT,361.0,2868.0,12,0,877,0,0,0
2025-05-29,BRAKE_PAD_FRONT,447.0,2421.0,12,0,968,0,0,0
2025-05-30,BRAKE_PAD_FRONT,373.0,2048.0,12,0,884,0,0,0
2025-05-31,BRAKE_PAD_FRONT,450.0,5040.0,12,0,1028,3442,0,0
2025-06-01,BRAKE_PAD_FRONT,457.0,4583.0,12,0,995,0,0,0
2025-06-02,BRAKE_PAD_FRONT,435.0,4148.0,12,0,1017,0,0,0
2025-06-03,BRAKE_PAD_FRONT,443.0,3705.0,12,0,1067,0,0,0
2025-06-04,BRAKE_PAD_FRONT,420.0,3285.0,12,0,1014,0,0,0
2025-06-05,BRAKE_PAD_FRONT,447.0,2838.0,12,0,1076,0,0,0
2025-06-06,BRAKE_PAD_FRONT,474.0,2364.0,12,0,1111,0,0,0
2025-06-07,BRAKE_PAD_FRONT,487.0,5040.0,12,0,1153,3163,0,0
2025-06-08,BRAKE_PAD_FRONT,476.0,4564.0,12,0,1147,0,0,0
2025-06-09,BRAKE_PAD_FRONT,487.0,4077.0,12,0,1172,0,0,0
2025-06-10,BRAKE_PAD_FRONT,396.0,3681.0,12,0,1164,0,1,0
2025-06-11,BRAKE_PAD_FRONT,396.0,3285.0,12,0,1099,0,1,0
2025-06-12,BRAKE_PAD_FRONT,377.0,2908.0,12,0,1074,0,1,0
2025-06-13,BRAKE_PAD_FRONT,471.0,2437.0,12,0,1173,0,0,0
2025-06-14,BRAKE_PAD_FRONT,413.0,2024.0,12,0,1023,0,0,0
2025-06-15,BRAKE_PAD_FRONT,484.0,5040.0,12,0,1130,3500,0,0
2025-06-16,BRAKE_PAD_FRONT,393.0,4647.0,12,0,946,0,0,0
2025-06-17,BRAKE_PAD_FRONT,347.0,4300.0,12,0,910,0,0,0
2025-06-18,BRAKE_PAD_FRONT,387.0,3913.0,12,0,855,0,0,0
2025-06-19,BRAKE_PAD_FRONT,366.0,3547.0,12,0,870,0,0,0
2025-06-20,BRAKE_PAD_FRONT,408.0,3139.0,12,0,935,0,0,0
2025-06-21,BRAKE_PAD_FRONT,339.0,2800.0,12,0,847,0,0,0
2025-06-22,BRAKE_PAD_FRONT,337.0,2463.0,12,0,852,0,0,0
2025-06-23,BRAKE_PAD_FRONT,333.0,2130.0,12,0,787,0,0,0
2025-06-24,BRAKE_PAD_FRONT,304.0,5040.0,12,0,819,3214,0,0
2025-06-25,BRAKE_PAD_FRONT,373.0,4667.0,12,0,852,0,0,0
2025-06-26,BRAKE_PAD_FRONT,354.0,4313.0,12,0,884,0,0,0
2025-06-27,BRAKE_PAD_FRONT,421.0,3892.0,12,0,993,0,0,0
2025-06-28,BRAKE_PAD_FRONT,423.0,3469.0,12,0,1069,0,0,0
2025-06-29,BRAKE_PAD_FRONT,440.0,3029.0,12,0,933,0,0,0
2025-06-30,BRAKE_PAD_FRONT,395.0,2634.0,12,0,986,0,0,0
2025-07-01,BRAKE_PAD_FRONT,447.0,2187.0,12,0,1088,0,0,0
2025-07-02,BRAKE_PAD_FRONT,442.0,5040.0,12,0,967,3295,0,0
2025-07-03,BRAKE_PAD_FRONT,511.0,4529.0,17,1,1123,0,0,0
2025-07-04,BRAKE_PAD_FRONT,507.0,4022.0,12,0,1209,0,0,0
2025-07-05,BRAKE_PAD_FRONT,431.0,3591.0,12,0,1101,0,0,0
2025-07-06,BRAKE_PAD_FRONT,471.0,3120.0,12,0,1068,0,0,0
2025-07-07,BRAKE_PAD_FRONT,434.0,2686.0,12,0,1071,0,0,0
2025-07-08,BRAKE_PAD_FRONT,486.0,2200.0,12,0,1236,0,0,0
2025-07-09,BRAKE_PAD_FRONT,488.0,5040.0,12,0,1207,3328,0,0
2025-07-10,BRAKE_PAD_FRONT,395.0,4645.0,12,0,1113,0,1,0
2025-07-11,BRAKE_PAD_FRONT,361.0,4284.0,12,0,1117,0,1,0
2025-07-12,BRAKE_PAD_FRONT,374.0,3910.0,12,0,1059,0,1,0
2025-07-13,BRAKE_PAD_FRONT,426.0,3484.0,12,0,1045,0,0,0
2025-07-14,BRAKE_PAD_FRONT,478.0,3006.0,12,0,1102,0,0,0
2025-07-15,BRAKE_PAD_FRONT,405.0,2601.0,12,0,1002,0,0,0
2025-07-16,BRAKE_PAD_FRONT,388.0,2213.0,12,0,951,0,0,0
2025-07-17,BRAKE_PAD_FRONT,447.0,5040.0,12,0,956,3274,0,0
2025-07-18,BRAKE_PAD_FRONT,413.0,4627.0,12,0,926,0,0,0
2025-07-19,BRAKE_PAD_FRONT,400.0,4227.0,12,0,878,0,0,0
2025-07-20,BRAKE_PAD_FRONT,342.0,3885.0,12,0,845,0,0,0
2025-07-21,BRAKE_PAD_FRONT,383.0,3502.0,12,0,857,0,0,0
2025-07-22,BRAKE_PAD_FRONT,428.0,3074.0,12,0,896,0,0,0
2025-07-23,BRAKE_PAD_FRONT,320.0,2754.0,12,0,833,0,0,0
2025-07-24,BRAKE_PAD_FRONT,394.0,2360.0,12,0,931,0,0,0
2025-07-25,BRAKE_PAD_FRONT,338.0,2022.0,12,0,843,0,0,0
2025-07-26,BRAKE_PAD_FRONT,392.0,5040.0,12,0,912,3410,0,0
2025-07-27,BRAKE_PAD_FRONT,360.0,4680.0,12,0,929,0,0,0
2025-07-28,BRAKE_PAD_FRONT,393.0,4287.0,12,0,862,0,0,0
2025-07-29,BRAKE_PAD_FRONT,435.0,3852.0,12,0,1036,0,0,0
2025-07-30,BRAKE_PAD_FRONT,390.0,3462.0,12,0,959,0,0,0
2025-07-31,BRAKE_PAD_FRONT,440.0,3022.0,12,0,1097,0,0,0
2025-08-01,BRAKE_PAD_FRONT,427.0,2595.0,12,0,1045,0,0,0
2025-08-02,BRAKE_PAD_FRONT,467.0,2128.0,12,0,1092,0,0,0
2025-08-03,BRAKE_PAD_FRONT,461.0,5040.0,12,0,1124,3373,0,0
2025-08-04,BRAKE_PAD_FRONT,448.0,4592.0,12,0,1073,0,0,0
2025-08-05,BRAKE_PAD_FRONT,503.0,4089.0,12,0,1183,0,0,0
2025-08-06,BRAKE_PAD_FRONT,493.0,3596.0,12,0,1188,0,0,0
2025-08-07,BRAKE_PAD_FRONT,478.0,3118.0,12,0,1231,0,0,0
2025-08-08,BRAKE_PAD_FRONT,508.0,2610.0,12,0,1176,0,0,0
2025-08-09,BRAKE_PAD_FRONT,449.0,2161.0,17,1,1095,0,0,0
2025-08-10,BRAKE_PAD_FRONT,392.0,5040.0,12,0,1112,3271,1,0
2025-08-11,BRAKE_PAD_FRONT,371.0,4669.0,12,0,1029,0,1,0
2025-08-12,BRAKE_PAD_FRONT,346.0,4323.0,12,0,980,0,1,0
2025-08-13,BRAKE_PAD_FRONT,443.0,3880.0,12,0,1039,0,0,0
2025-08-14,BRAKE_PAD_FRONT,466.0,3414.0,12,0,1058,0,0,0
2025-08-15,BRAKE_PAD_FRONT,418.0,2996.0,12,0,975,0,0,0
2025-08-16,BRAKE_PAD_FRONT,411.0,2585.0,12,0,1001,0,0,0
2025-08-17,BRAKE_PAD_FRONT,354.0,2231.0,12,0,880,0,0,0
2025-08-18,BRAKE_PAD_FRONT,319.0,5040.0,12,0,836,3128,0,0
2025-08-19,BRAKE_PAD_FRONT,447.0,4593.0,12,0,969,0,0,0
2025-08-20,BRAKE_PAD_FRONT,337.0,4256.0,12,0,877,0,0,0
2025-08-21,BRAKE_PAD_FRONT,390.0,3866.0,12,0,851,0,0,0
2025-08-22,BRAKE_PAD_FRONT,343.0,3523.0,12,0,865,0,0,0
2025-08-23,BRAKE_PAD_FRONT,377.0,3146.0,12,0,815,0,0,0
2025-08-24,BRAKE_PAD_FRONT,402.0,2744.0,12,0,880,0,0,0
2025-08-25,BRAKE_PAD_FRONT,363.0,2381.0,12,0,840,0,0,0
2025-08-26,BRAKE_PAD_FRONT,350.0,2031.0,12,0,869,0,0,0
2025-08-27,BRAKE_PAD_FRONT,427.0,5040.0,12,0,1010,3436,0,0
2025-08-28,BRAKE_PAD_FRONT,401.0,4639.0,12,0,955,0,0,0
2025-08-29,BRAKE_PAD_FRONT,417.0,4222.0,12,0,972,0,0,0
2025-08-30,BRAKE_PAD_FRONT,421.0,3801.0,12,0,1011,0,0,0
2025-08-31,BRAKE_PAD_FRONT,455.0,3346.0,12,0,1045,0,0,0
2025-09-01,BRAKE_PAD_FRONT,423.0,2923.0,12,0,1000,0,0,0
2025-09-02,BRAKE_PAD_FRONT,465.0,2458.0,12,0,1142,0,0,0
2025-09-03,BRAKE_PAD_FRONT,450.0,2008.0,12,0,1084,0,0,0
2025-09-04,BRAKE_PAD_FRONT,508.0,5040.0,12,0,1178,3540,0,0
2025-09-05,BRAKE_PAD_FRONT,458.0,4582.0,12,0,1031,0,0,0
2025-09-06,BRAKE_PAD_FRONT,465.0,4117.0,12,0,1141,0,0,0
2025-09-07,BRAKE_PAD_FRONT,438.0,3679.0,12,0,991,0,0,0
2025-09-08,BRAKE_PAD_FRONT,413.0,3266.0,12,0,1101,0,0,0
2025-09-09,BRAKE_PAD_FRONT,446.0,2820.0,12,0,1030,0,0,0
2025-09-10,BRAKE_PAD_FRONT,365.0,2455.0,12,0,1023,0,1,0
2025-09-11,BRAKE_PAD_FRONT,354.0,2101.0,12,0,1001,0,1,0
2025-09-12,BRAKE_PAD_FRONT,397.0,5040.0,12,0,1060,3336,1,0
2025-09-13,BRAKE_PAD_FRONT,382.0,4658.0,12,0,922,0,0,0
2025-09-14,BRAKE_PAD_FRONT,391.0,4267.0,17,1,964,0,0,0
2025-09-15,BRAKE_PAD_FRONT,338.0,3929.0,12,0,788,0,0,0
2025-09-16,BRAKE_PAD_FRONT,343.0,3586.0,12,0,838,0,0,0
2025-09-17,BRAKE_PAD_FRONT,376.0,3210.0,12,0,868,0,0,0
2025-09-18,BRAKE_PAD_FRONT,372.0,2838.0,12,0,830,0,0,0
2025-09-19,BRAKE_PAD_FRONT,371.0,2467.0,12,0,848,0,0,0
2025-09-20,BRAKE_PAD_FRONT,350.0,2117.0,12,0,817,0,0,0
2025-09-21,BRAKE_PAD_FRONT,309.0,5040.0,12,0,774,3232,0,0
2025-09-22,BRAKE_PAD_FRONT,387.0,4653.0,12,0,900,0,0,0
2025-09-23,BRAKE_PAD_FRONT,352.0,4301.0,12,0,790,0,0,0
2025-09-24,BRAKE_PAD_FRONT,300.0,4001.0,17,1,830,0,0,0
2025-09-25,BRAKE_PAD_FRONT,358.0,3643.0,12,0,835,0,0,0
2025-09-26,BRAKE_PAD_FRONT,364.0,3279.0,12,0,921,0,0,0
2025-09-27,BRAKE_PAD_FRONT,444.0,2835.0,12,0,979,0,0,0
2025-09-28,BRAKE_PAD_FRONT,387.0,2448.0,12,0,991,0,0,0
2025-09-29,BRAKE_PAD_FRONT,418.0,2030.0,12,0,1013,0,0,0
2025-09-30,BRAKE_PAD_FRONT,467.0,5040.0,12,0,1037,3477,0,0
2025-10-01,BRAKE_PAD_FRONT,473.0,4567.0,12,0,1095,0,0,0
2025-10-02,BRAKE_PAD_FRONT,485.0,4082.0,12,0,1166,0,0,0
2025-10-03,BRAKE_PAD_FRONT,487.0,3595.0,12,0,1120,0,0,0
2025-10-04,BRAKE_PAD_FRONT,471.0,3124.0,12,0,1149,0,0,0
2025-10-05,BRAKE_PAD_FRONT,515.0,2609.0,12,0,1193,0,0,0
2025-10-06,BRAKE_PAD_FRONT,467.0,2142.0,12,0,1156,0,0,0
2025-10-07,BRAKE_PAD_FRONT,456.0,5040.0,12,0,1153,3354,0,0
2025-10-08,BRAKE_PAD_FRONT,476.0,4564.0,12,0,1154,0,0,0
2025-10-09,BRAKE_PAD_FRONT,469.0,4095.0,12,0,1113,0,0,0
2025-10-10,BRAKE_PAD_FRONT,401.0,3694.0,12,0,1091,0,1,0
2025-10-11,BRAKE_PAD_FRONT,363.0,3331.0,12,0,1023,0,1,0
2025-10-12,BRAKE_PAD_FRONT,371.0,2960.0,12,0,973,0,1,0
2025-10-13,BRAKE_PAD_FRONT,430.0,2530.0,12,0,980,0,0,0
2025-10-14,BRAKE_PAD_FRONT,418.0,2112.0,12,0,948,0,0,0
2025-10-15,BRAKE_PAD_FRONT,364.0,5040.0,12,0,953,3292,0,0
2025-10-16,BRAKE_PAD_FRONT,413.0,4627.0,12,0,871,0,0,0
2025-10-17,BRAKE_PAD_FRONT,394.0,4233.0,12,0,978,0,0,0
2025-10-18,BRAKE_PAD_FRONT,335.0,3898.0,12,0,836,0,0,0
2025-10-19,BRAKE_PAD_FRONT,389.0,3509.0,12,0,932,0,0,0
2025-10-20,BRAKE_PAD_FRONT,405.0,3104.0,12,0,890,0,0,1
2025-10-21,BRAKE_PAD_FRONT,349.0,2755.0,12,0,796,0,0,1
2025-10-22,BRAKE_PAD_FRONT,379.0,2376.0,12,0,825,0,0,1
2025-10-23,BRAKE_PAD_FRONT,371.0,2005.0,12,0,859,0,0,1
2025-10-24,BRAKE_PAD_FRONT,409.0,5040.0,12,0,923,3444,0,1
2025-10-25,BRAKE_PAD_FRONT,435.0,4605.0,12,0,872,0,0,1
2025-10-26,BRAKE_PAD_FRONT,444.0,4161.0,12,0,936,0,0,1
2025-10-27,BRAKE_PAD_FRONT,416.0,3745.0,12,0,945,0,0,1
2025-10-28,BRAKE_PAD_FRONT,512.0,3233.0,12,0,1064,0,0,1
2025-10-29,BRAKE_PAD_FRONT,473.0,2760.0,12,0,979,0,0,1
2025-10-30,BRAKE_PAD_FRONT,479.0,2281.0,12,0,1069,0,0,1
2025-10-31,BRAKE_PAD_FRONT,431.0,5040.0,12,0,1101,3190,0,0
2025-11-01,BRAKE_PAD_FRONT,450.0,4590.0,12,0,1030,0,0,0
2025-11-02,BRAKE_PAD_FRONT,452.0,4138.0,12,0,1049,0,0,0
2025-11-03,BRAKE_PAD_FRONT,530.0,3608.0,12,0,1243,0,0,0
2025-11-04,BRAKE_PAD_FRONT,501.0,3107.0,12,0,1217,0,0,0
2025-11-05,BRAKE_PAD_FRONT,458.0,2649.0,12,0,1092,0,0,0
2025-11-06,BRAKE_PAD_FRONT,479.0,2170.0,12,0,1151,0,0,0
2025-11-07,BRAKE_PAD_FRONT,509.0,5040.0,12,0,1131,3379,0,0
2025-11-08,BRAKE_PAD_FRONT,433.0,4607.0,12,0,1121,0,0,0
2025-11-09,BRAKE_PAD_FRONT,490.0,4117.0,12,0,1123,0,0,0
2025-11-10,BRAKE_PAD_FRONT,415.0,3702.0,12,0,1131,0,1,0
2025-11-11,BRAKE_PAD_FRONT,347.0,3355.0,12,0,1096,0,1,0
2025-11-12,BRAKE_PAD_FRONT,353.0,3002.0,12,0,957,0,1,0
2025-11-13,BRAKE_PAD_FRONT,409.0,2593.0,12,0,989,0,0,0
